ReportingDate,FACILITY NAME,COUNTY,TYPE,COMPLIANCE,NEW RESIDENT CASES,TOTAL RESIDENT CASES,NEW RESIDENT DEATHS,TOTAL RESIDENT DEATHS,NEW STAFF CASES,TOTAL STAFF CASES,NEW STAFF DEATHS,TOTAL STAFF DEATHS,Reporting
11-16-2020,Hoyt Nursing & Rehab. Centre,SAGINAW,SNF, ,10.0,24.0,0.0,8.0,2.0,21.0,0.0,0.0,Yes
11-16-2020,The Rivers Hlth & Rehab Ctr of Grosse Pt,WAYNE,SNF, ,10.0,16.0,0.0,0.0,8.0,24.0,0.0,0.0,Yes
11-16-2020,Emerald Meadows,KENT,HFA, ,9.0,13.0,0.0,1.0,2.0,3.0,0.0,0.0,Yes
11-16-2020,Grand Oaks Nursing Center,LAKE,SNF, ,9.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,Yes
11-16-2020,Clarkston Specialty Healthcare Center,OAKLAND,SNF, ,9.0,9.0,0.0,0.0,3.0,8.0,0.0,0.0,Yes
11-16-2020,MediLodge at the Shore,OTTAWA,SNF, ,9.0,48.0,1.0,7.0,2.0,19.0,0.0,0.0,Yes
11-16-2020,Oliver Woods 1,SHIAWASSEE,AFC, ,9.0,11.0,0.0,0.0,6.0,6.0,0.0,0.0,Yes
11-16-2020,Bentley Manor #8,GENESEE,AFC, ,8.0,11.0,1.0,1.0,2.0,2.0,0.0,0.0,Yes
11-16-2020,"Laurels of Fulton, The",GRATIOT,SNF, ,8.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,Yes
11-16-2020,Tuscola Count Medical Care Community ,TUSCOLA,SNF, ,8.0,33.0,0.0,14.0,5.0,19.0,0.0,0.0,Yes
11-16-2020,Woodlawn Meadows Specialized Care,BARRY,AFC, ,7.0,7.0,0.0,0.0,2.0,3.0,0.0,0.0,Yes
11-16-2020,Monet House Inn Bay City,BAY,AFC, ,7.0,8.0,1.0,1.0,3.0,4.0,0.0,0.0,Yes
11-16-2020,Spectrum Health RNC - United Hospital,MONTCALM,SNF, ,7.0,16.0,0.0,0.0,4.0,7.0,0.0,0.0,Yes
11-16-2020,SKLD Muskegon,MUSKEGON,SNF, ,7.0,57.0,1.0,17.0,5.0,37.0,0.0,0.0,Yes
11-16-2020,SKLD Zeeland,OTTAWA,SNF, ,7.0,15.0,0.0,0.0,1.0,10.0,0.0,0.0,Yes
11-16-2020,Thurston Woods Village,SAINT JOSEPH,SNF, ,7.0,26.0,1.0,1.0,7.0,32.0,0.0,0.0,Yes
11-16-2020,Freeman Nursing & Rehab,DICKINSON,SNF, ,6.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,Yes
11-16-2020,Fenton HealthCare,GENESEE,SNF, ,6.0,55.0,0.0,6.0,0.0,19.0,0.0,0.0,Yes
11-16-2020,Oceana Co Md Care Facility,OCEANA,SNF, ,6.0,21.0,2.0,2.0,2.0,27.0,0.0,1.0,Yes
11-16-2020,Woodhaven Retirement Community ,WAYNE,SNF, ,6.0,26.0,0.0,1.0,0.0,18.0,0.0,0.0,Yes
11-16-2020,West Woods of Niles,BERRIEN,SNF, ,5.0,86.0,0.0,20.0,2.0,44.0,0.0,0.0,Yes
11-16-2020,Meadowlark Retirement Village A,KENT,AFC, ,5.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,Yes
11-16-2020,Spectrum Health Reed City Hospital RNC,OSCEOLA,SNF, ,5.0,5.0,0.0,0.0,7.0,9.0,0.0,0.0,Yes
11-16-2020,Medilodge of St. Clair,SAINT CLAIR,SNF, ,5.0,99.0,0.0,23.0,0.0,30.0,0.0,0.0,Yes
11-16-2020,Pleasant View Shiawassee County MCF,SHIAWASSEE,SNF, ,5.0,22.0,0.0,0.0,4.0,19.0,0.0,0.0,Yes
11-16-2020,Chelsea Retirement Community,WASHTENAW,SNF, ,5.0,46.0,0.0,14.0,1.0,39.0,0.0,0.0,Yes
11-16-2020,Cass County Medical Care Facility,CASS,SNF, ,4.0,44.0,0.0,11.0,5.0,35.0,0.0,0.0,Yes
11-16-2020,Dimondale Nursing Care Center,EATON,SNF, ,4.0,4.0,0.0,0.0,4.0,7.0,0.0,0.0,Yes
11-16-2020,Flatrock Manor of Fenton,GENESEE,AFC, ,4.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0,Yes
11-16-2020,Willowbrook Manor,GENESEE,SNF, ,4.0,60.0,0.0,20.0,5.0,17.0,0.0,0.0,Yes
11-16-2020,Railside Assisted Living Center,KENT,HFA, ,4.0,4.0,0.0,0.0,1.0,7.0,0.0,0.0,Yes
11-16-2020,Regency at St Clair Shores,MACOMB,SNF, ,4.0,35.0,0.0,5.0,7.0,19.0,0.0,0.0,Yes
11-16-2020,Oakview Medical Care Facility,MASON,SNF, ,4.0,20.0,0.0,1.0,2.0,12.0,0.0,0.0,Yes
11-16-2020,Medilodge of Marshall,CALHOUN,SNF, ,3.0,46.0,3.0,11.0,6.0,20.0,0.0,0.0,Yes
11-16-2020,Springvale Assisted Living,GENESEE,HFA, ,3.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,Yes
11-16-2020,Medilodge of Campus Area,INGHAM,SNF, ,3.0,56.0,3.0,10.0,3.0,17.0,0.0,0.0,Yes
11-16-2020,Rose Garden,KENT,HFA, ,3.0,6.0,1.0,1.0,3.0,4.0,0.0,0.0,Yes
11-16-2020,Cambrian Memory Care of Tecumseh,LENAWEE,HFA, ,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,Yes
11-16-2020,Medilodge of Richmond,MACOMB,SNF, ,3.0,24.0,0.0,3.0,2.0,22.0,0.0,0.0,Yes
11-16-2020,Shelby Crossing Health Campus HFA,MACOMB,HFA, ,3.0,14.0,0.0,5.0,1.0,19.0,0.0,0.0,Yes
11-16-2020,Westlake Health Campus,OAKLAND,SNF, ,3.0,8.0,0.0,0.0,4.0,8.0,0.0,0.0,Yes
11-16-2020,Resthaven Maple Woods,OTTAWA,HFA, ,3.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,Yes
11-16-2020,Bronson Commons,VAN BUREN,SNF, ,3.0,8.0,0.0,0.0,6.0,24.0,0.0,0.0,Yes
11-16-2020,"Imperial, A Villa Center",WAYNE,SNF, ,3.0,108.0,1.0,20.0,0.0,14.0,0.0,0.0,Yes
11-16-2020,West Woods of Bridgman,BERRIEN,SNF, ,2.0,43.0,0.0,11.0,0.0,17.0,0.0,0.0,Yes
11-16-2020,Leighton House Inn Linden,GENESEE,AFC, ,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,Yes
11-16-2020,Wellbridge of Grand Blanc ,GENESEE,SNF, ,2.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,Yes
11-16-2020,Gladwin Pines Nursing Home,GLADWIN,SNF, ,2.0,5.0,0.0,0.0,2.0,7.0,0.0,0.0,Yes
11-16-2020,The Horizon Senior Living V,GLADWIN,AFC, ,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,Yes
11-16-2020,Hillsdale Co Medical Care Faci,HILLSDALE,SNF, ,2.0,58.0,0.0,20.0,4.0,60.0,0.0,0.0,Yes
11-16-2020,Burcham Hills Center for Health & Rehab,INGHAM,SNF, ,2.0,43.0,0.0,7.0,2.0,69.0,0.0,0.0,Yes
11-16-2020,MediLodge of Capital Area,INGHAM,SNF, ,2.0,3.0,0.0,0.0,3.0,10.0,0.0,0.0,Yes
11-16-2020,Holland Home Breton Rehab & Living Ctr,KENT,SNF, ,2.0,5.0,0.0,0.0,1.0,8.0,0.0,0.0,Yes
11-16-2020,Mission Point of Forest Hills,KENT,SNF, ,2.0,9.0,1.0,1.0,1.0,5.0,0.0,0.0,Yes
11-16-2020,Samaritas Senior Living Grand Rapids Woods,KENT,HFA, ,2.0,36.0,2.0,4.0,2.0,18.0,0.0,0.0,Yes
11-16-2020,Spectrum Health Rehab & Nrsg Fuller,KENT,SNF, ,2.0,21.0,2.0,3.0,11.0,38.0,0.0,0.0,Yes
11-16-2020,St Anns Home,KENT,SNF, ,2.0,27.0,3.0,7.0,3.0,15.0,0.0,0.0,Yes
11-16-2020,Orchard Creek Skilled Nursing,LEELANAU,SNF, ,2.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,Yes
11-16-2020,Regency at Shelby Township,MACOMB,SNF, ,2.0,64.0,0.0,14.0,1.0,29.0,0.0,0.0,Yes
11-16-2020,Shelby Nursing Center,MACOMB,SNF, ,2.0,85.0,0.0,13.0,3.0,29.0,0.0,0.0,Yes
11-16-2020,Laurels of Carson City,MONTCALM,SNF, ,2.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,Yes
11-16-2020,Marvin & Betty Danto Family Health Care ,OAKLAND,SNF, ,2.0,30.0,0.0,4.0,0.0,14.0,0.0,0.0,Yes
11-16-2020,AHSL Holland Beachside,OTTAWA,AFC, ,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
11-16-2020,Appledorn Assisted Living Center,OTTAWA,HFA, ,2.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,Yes
11-16-2020,Medilodge of Holland,OTTAWA,SNF, ,2.0,3.0,0.0,0.0,6.0,7.0,0.0,0.0,Yes
11-16-2020,North Ottawa Care Center,OTTAWA,SNF, ,2.0,4.0,0.0,0.0,5.0,7.0,0.0,0.0,Yes
11-16-2020,Waterford Place Assisted Living,OTTAWA,HFA, ,2.0,2.0,0.0,0.0,9.0,14.0,0.0,0.0,Yes
11-16-2020,Great Lakes Rehab Center,SAGINAW,SNF, ,2.0,39.0,0.0,8.0,3.0,25.0,0.0,0.0,Yes
11-16-2020,St. Francis Home,SAGINAW,SNF, ,2.0,2.0,0.0,0.0,2.0,7.0,0.0,0.0,Yes
11-16-2020,Medilodge of Yale,SAINT CLAIR,SNF, ,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,Yes
11-16-2020,Marlette Community Hospital LTCU,SANILAC,SNF, ,2.0,3.0,1.0,1.0,2.0,15.0,0.0,0.0,Yes
11-16-2020,Medilodge of Cass City,TUSCOLA,SNF, ,2.0,45.0,1.0,9.0,5.0,25.0,0.0,0.0,Yes
11-16-2020,"Applewood Nursing Center, Inc.",WAYNE,SNF, ,2.0,70.0,0.0,9.0,2.0,38.0,0.0,0.0,Yes
11-16-2020,Rivergate Health Care Center,WAYNE,SNF, ,2.0,89.0,2.0,23.0,6.0,73.0,0.0,0.0,Yes
11-16-2020,SKLD Livonia ,WAYNE,SNF, ,2.0,47.0,0.0,13.0,0.0,13.0,0.0,0.0,Yes
11-16-2020,The Lodge at Taylor,WAYNE,SNF, ,2.0,73.0,0.0,12.0,3.0,16.0,0.0,0.0,Yes
11-16-2020,Briarwood Assisted Living,ALLEGAN,HFA, ,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,Yes
11-16-2020,Hastings Rehab and Healthcare Center,BARRY,SNF, ,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,Yes
11-16-2020,Caretel Inns of Tricities,BAY,SNF, ,1.0,20.0,0.0,4.0,5.0,22.0,0.0,0.0,Yes
11-16-2020,Heartland HCC - Hampton,BAY,SNF, ,1.0,21.0,0.0,5.0,1.0,15.0,0.0,0.0,Yes
11-16-2020,Pine Ridge - A Rehab & Nursing Center,BERRIEN,SNF, ,1.0,24.0,0.0,12.0,2.0,28.0,0.0,0.0,Yes
11-16-2020,Maple Lawn Medical Care Facility,BRANCH,SNF, ,1.0,3.0,0.0,0.0,4.0,20.0,0.0,0.0,Yes
11-16-2020,Evergreen Senior Care & Rehab Center,CALHOUN,SNF, ,1.0,3.0,0.0,0.0,3.0,7.0,0.0,0.0,Yes
11-16-2020,Heartland HCC - Battle Creek,CALHOUN,SNF, ,1.0,3.0,0.0,0.0,3.0,6.0,0.0,0.0,Yes
11-16-2020,Laurels of Bedford,CALHOUN,SNF, ,1.0,19.0,0.0,5.0,0.0,11.0,0.0,0.0,Yes
11-16-2020,Medilodge Of Sault Ste Marie,CHIPPEWA,SNF, ,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,Yes
11-16-2020,Regency at Lansing West,EATON,SNF, ,1.0,11.0,0.0,2.0,1.0,13.0,0.0,0.0,Yes
11-16-2020,Kith Haven,GENESEE,SNF, ,1.0,73.0,0.0,23.0,2.0,30.0,0.0,0.0,Yes
11-16-2020,Regency at Grand Blanc,GENESEE,SNF, ,1.0,79.0,0.0,13.0,7.0,59.0,0.0,1.0,Yes
11-16-2020,Michigan Masonic Home,GRATIOT,HFA, ,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,Yes
11-16-2020,The Lighthouse at Hancock,HOUGHTON,SNF, ,1.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,Yes
11-16-2020,Courtney Manor,HURON,SNF, ,1.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,Yes
11-16-2020,Prestige Way #1,INGHAM,AFC, ,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes
11-16-2020,Mission Point of Belding,IONIA,SNF, ,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes
11-16-2020,MediLodge of Tawas City,IOSCO,SNF, ,1.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,Yes
11-16-2020,Medilodge Of Mt Pleasant,ISABELLA,SNF, ,1.0,4.0,0.0,1.0,3.0,7.0,0.0,0.0,Yes
11-16-2020,Spring Arbor Assisted Living Center,JACKSON,HFA, ,1.0,32.0,2.0,4.0,0.0,24.0,0.0,0.0,Yes
11-16-2020,Alamo Nursing Home,KALAMAZOO,SNF, ,1.0,85.0,7.0,16.0,5.0,48.0,0.0,0.0,Yes
11-16-2020,Harold & Grace Upjohn Community Care Ctr,KALAMAZOO,SNF, ,1.0,6.0,0.0,1.0,0.0,9.0,0.0,0.0,Yes
11-16-2020,AHSL Kentwood Fieldstone,KENT,AFC, ,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,Yes
11-16-2020,AHSL Kentwood Riverstone,KENT,AFC, ,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes
11-16-2020,Holland Home-Breton Extended Care,KENT,AFC, ,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Yes
11-16-2020,Maple Ridge Manor Of Lowell,KENT,HFA, ,1.0,3.0,1.0,1.0,3.0,7.0,0.0,0.0,Yes
11-16-2020,MediLodge of Wyoming,KENT,SNF, ,1.0,4.0,0.0,0.0,2.0,8.0,0.0,0.0,Yes
11-16-2020,Porter Hills Presbyterian Village,KENT,HFA, ,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,Yes
11-16-2020,SKLD Beltline,KENT,SNF, ,1.0,23.0,0.0,10.0,1.0,22.0,0.0,0.0,Yes
11-16-2020,Spectrum Health Rehab and Nursing Center,KENT,SNF, ,1.0,5.0,0.0,0.0,7.0,32.0,0.0,0.0,Yes
11-16-2020,MediLodge of Howell,LIVINGSTON,SNF, ,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,Yes
11-16-2020,Heartland Healthcare - Sterling Heights,MACOMB,SNF, ,1.0,50.0,0.0,13.0,0.0,17.0,0.0,0.0,Yes
11-16-2020,Martha T Berry MCF,MACOMB,SNF, ,1.0,56.0,0.0,24.0,7.0,62.0,0.0,0.0,Yes
11-16-2020,Manistee County Medical Care Facility,MANISTEE,SNF, ,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,Yes
11-16-2020,Dj Jacobetti Home For Veterans,MARQUETTE,SNF, ,1.0,8.0,1.0,1.0,1.0,10.0,0.0,0.0,Yes
11-16-2020,The Lighthouse Ishpeming,MARQUETTE,SNF, ,1.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,Yes
11-16-2020,Roubal Care & Rehab. Center,MENOMINEE,SNF, ,1.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,Yes
11-16-2020,Brittany Manor,MIDLAND,SNF, ,1.0,5.0,0.0,1.0,0.0,7.0,0.0,0.0,Yes
11-16-2020,IHM Senior Living Community,MONROE,SNF, ,1.0,3.0,0.0,0.0,4.0,19.0,0.0,0.0,Yes
11-16-2020,Dayspring Assisted Living Residence,MUSKEGON,HFA, ,1.0,10.0,0.0,3.0,2.0,7.0,0.0,0.0,Yes
11-16-2020,Courtyard Manor Farmington Hills III,OAKLAND,AFC, ,1.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,Yes
11-16-2020,"Lakeland Center, The",OAKLAND,SNF, ,1.0,38.0,0.0,5.0,0.0,54.0,0.0,0.0,Yes
11-16-2020,The Manor of Novi,OAKLAND,SNF, ,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
11-16-2020,Waltonwood at Main,OAKLAND,HFA, ,1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,Yes
11-16-2020,WellBridge of Rochester Hills,OAKLAND,SNF, ,1.0,7.0,0.0,1.0,1.0,11.0,0.0,0.0,Yes
11-16-2020,Medilodge of Gaylord,OTSEGO,SNF, ,1.0,34.0,0.0,7.0,1.0,25.0,0.0,0.0,Yes
11-16-2020,"Inn at Freedom Village, The",OTTAWA,SNF, ,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,Yes
11-16-2020,Robbinswood Assisted Living Community,OTTAWA,HFA, ,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,Yes
11-16-2020,Sunset Manor,OTTAWA,HFA, ,1.0,4.0,0.0,0.0,8.0,18.0,0.0,0.0,Yes
11-16-2020,King Nursing and Rehab Community,ROSCOMMON,SNF, ,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,Yes
11-16-2020,Avista Nursing and Rehab,SAGINAW,SNF, ,1.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,Yes
11-16-2020,Chesaning Comfort Care,SAGINAW,HFA, ,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Yes
11-16-2020,Covenant Healthcare System,SAGINAW,SNF, ,1.0,9.0,0.0,0.0,2.0,9.0,0.0,0.0,Yes
11-16-2020,Sanilac Medical Care Facility,SANILAC,SNF, ,1.0,16.0,1.0,1.0,3.0,13.0,0.0,0.0,Yes
11-16-2020,Advantage Living Center Harper Woods,WAYNE,SNF, ,1.0,74.0,0.0,23.0,0.0,13.0,0.0,1.0,Yes
11-16-2020,Advantage Living Center Wayne,WAYNE,SNF, ,1.0,70.0,0.0,24.0,2.0,16.0,0.0,0.0,Yes
11-16-2020,Heartland Health Care Center - Canton,WAYNE,SNF, ,1.0,34.0,0.0,15.0,0.0,25.0,0.0,0.0,Yes
11-16-2020,Maple Manor Rehab Center,WAYNE,SNF, ,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,Yes
11-16-2020,Medilodge of Taylor,WAYNE,SNF, ,1.0,39.0,0.0,13.0,0.0,31.0,0.0,0.0,Yes
11-16-2020,Sunrise Assisted Living of Northville,WAYNE,HFA, ,1.0,15.0,0.0,9.0,2.0,7.0,0.0,0.0,Yes
11-16-2020,Jamieson Nursing Home,ALCONA,SNF, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
11-16-2020,Lincoln Haven Nursing & Rehab. Community,ALCONA,SNF, ,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Yes
11-16-2020,Medilodge of Munising,ALGER,SNF, ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes
11-16-2020,Allegan County Medical Care Community,ALLEGAN,SNF, ,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Yes
11-16-2020,Beacon Home at The Oaks,ALLEGAN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
11-16-2020,Golden Orchards I,ALLEGAN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
11-16-2020,Grace of Douglas,ALLEGAN,SNF, ,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,Yes
11-16-2020,Harbors Health Facility,ALLEGAN,HFA, ,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,Yes
11-16-2020,Laurels of Sandy Creek,ALLEGAN,SNF, ,0.0,,0.0,,2.0,,0.0,,Yes
11-16-2020,Life Care Center of Plainwell ,ALLEGAN,SNF, ,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,Yes
11-16-2020,Maplewood of Sandy Creek,ALLEGAN,AFC, ,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Yes
11-16-2020,Resthaven Care Center,ALLEGAN,SNF, ,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,Yes
11-16-2020,Vicinia Gardens of Otsego,ALLEGAN,HFA, ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes
11-16-2020,Besser Senior Living Community,ALPENA,HFA, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
11-16-2020,Medilodge Alpena,ALPENA,SNF, ,0.0,61.0,0.0,9.0,0.0,31.0,0.0,0.0,Yes
11-16-2020,Medilodge of Greenview,ALPENA,SNF, ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes
11-16-2020,Sally's Care Home I,ALPENA,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
11-16-2020,Meadow Brook MCF,ANTRIM,SNF, ,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,Yes
11-16-2020,Ascension Standish Hospital & SNF,ARENAC,SNF, ,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,Yes
11-16-2020,Medilodge of Sterling,ARENAC,SNF, ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes
11-16-2020,Bayside Village,BARAGA,SNF, ,0.0,0.0,0.0,0.0,8.0,14.0,0.0,0.0,Yes
11-16-2020,Thornapple Manor,BARRY,SNF, ,0.0,9.0,0.0,1.0,1.0,23.0,0.0,0.0,Yes
11-16-2020,Woodlawn Meadows Supportive Care,BARRY,AFC, ,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Yes
11-16-2020,"Auburn Heights Senior Care, Inc.",BAY,AFC, ,0.0,4.0,1.0,2.0,1.0,8.0,0.0,0.0,Yes
11-16-2020,"Bay City Comfort Care, LLC",BAY,HFA, ,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes
11-16-2020,Bay County Medical Care Facility,BAY,SNF, ,0.0,3.0,1.0,4.0,8.0,35.0,0.0,0.0,Yes
11-16-2020,Bay Shores Nursing Care Center,BAY,SNF, ,0.0,20.0,0.0,2.0,4.0,28.0,0.0,0.0,Yes
11-16-2020,Bayfield Assisted Living,BAY,HFA, ,0.0,0.0,0.0,9.0,1.0,3.0,0.0,0.0,Yes
11-16-2020,Brookdale Bay City AL (MI),BAY,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
11-16-2020,Brookdale Bay City MC (MI),BAY,AFC, ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes
11-16-2020,Huron Woods Nursing Center,BAY,SNF, ,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,Yes
