ReportingDate,CCN/LICENSE,FACILITY NAME,COUNTY,TYPE,COMPLIANCE,NEW RESIDENT CASES,TOTAL RESIDENT CASES,NEW RESIDENT DEATHS,TOTAL RESIDENT DEATHS,NEW STAFF CASES,TOTAL STAFF CASES,NEW STAFF DEATHS,TOTAL STAFF DEATHS
11-23-2020,AL060380538,Eden Fields  Memory Care,ARENAC,AFC, ,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL060380540,Eden Fields Assisted Living,ARENAC,AFC, ,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0
11-23-2020,235416,Medilodge of Sterling,ARENAC,SNF, ,9.0,9.0,0.0,0.0,13.0,14.0,0.0,0.0
11-23-2020,AL060312454,The Horizon Senior Living IV,ARENAC,AFC,NOT IN COMPLIANCE,,0.0,,0.0,,0.0,,0.0
11-23-2020,235144,Bayside Village,BARAGA,SNF, ,13.0,13.0,0.0,0.0,3.0,17.0,0.0,0.0
11-23-2020,AL080402219,AC Flower House LLC,BARRY,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,AH080236758,Carveth Village of Middleville,BARRY,HFA, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,235281,Hastings Rehab and Healthcare Center,BARRY,SNF, ,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0
11-23-2020,AL080387768,Stoneridge AFC,BARRY,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,235009,Thornapple Manor,BARRY,SNF, ,0.0,9.0,0.0,1.0,10.0,33.0,0.0,0.0
11-23-2020,AL080242139,Woodlawn Meadows Specialized Care,BARRY,AFC, ,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
11-23-2020,AL080242121,Woodlawn Meadows Supportive Care,BARRY,AFC, ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11-23-2020,AL090356074,"Auburn Fields Assisted Living II, LLC",BAY,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,AL090260028,"Auburn Heights Senior Care, Inc.",BAY,AFC, ,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
11-23-2020,AH090371811,"Bay City Comfort Care, LLC",BAY,HFA, ,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
11-23-2020,235044,Bay County Medical Care Facility,BAY,SNF, ,0.0,3.0,1.0,5.0,6.0,41.0,0.0,0.0
11-23-2020,235388,Bay Shores Nursing Care Center,BAY,SNF, ,1.0,21.0,0.0,2.0,4.0,32.0,0.0,0.0
11-23-2020,AL090084487,Bay Valley AFC Inc.,BAY,AFC, ,,0.0,,0.0,,1.0,,0.0
11-23-2020,AH090323912,Bayfield Assisted Living,BAY,HFA, ,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0
11-23-2020,AL090079535,Brookdale Bay City AL (MI),BAY,AFC, ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11-23-2020,AL090079533,Brookdale Bay City MC (MI),BAY,AFC, ,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11-23-2020,235635,Caretel Inns of Tricities,BAY,SNF, ,7.0,27.0,0.0,4.0,1.0,23.0,0.0,0.0
11-23-2020,AL090393451,Charter Senior Living at Bay City 1,BAY,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL090393313,Charter Senior Living at Bay City 2,BAY,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL090382733,Close To Home Assisted Living Hampton,BAY,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL090382066,Close To Home Assisted Living Riegel,BAY,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL090382071,Close To Home Assisted Living Riegel II,BAY,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL090402268,Country Square AFC,BAY,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,235411,Heartland HCC - Hampton,BAY,SNF, ,2.0,23.0,0.0,5.0,0.0,15.0,0.0,0.0
11-23-2020,235592,Huron Woods Nursing Center,BAY,SNF, ,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0
11-23-2020,AL090281510,Leighton House Inn Bay City,BAY,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL090281508,Monet House Inn Bay City,BAY,AFC, ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11-23-2020,AH090389444,New Hope Bay West,BAY,HFA, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AH090378600,"New Hope Bay, LLC",BAY,HFA, ,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
11-23-2020,AL090311311,Plainview Assisted Living,BAY,AFC, ,,0.0,,0.0,,1.0,,0.0
11-23-2020,AH090236871,Rachel Sovereign Memorial Home,BAY,HFA,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AH090236892,Sheffield Bay,BAY,HFA,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,235599,The Carriage House of Bay City,BAY,SNF, ,2.0,9.0,0.0,0.0,2.0,13.0,0.0,0.0
11-23-2020,AG100000012,Crystal View AFC,BENZIE,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,235005,Maples Benzie Co Medical Care,BENZIE,SNF, ,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0
11-23-2020,235460,Paul Oliver Memorial Hospital LTCU,BENZIE,SNF, ,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
11-23-2020,AL110366290,Beacon Home at Beacon Springs East,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL110383074,Beacon Home at Beacon Springs West,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL110238445,Blessed Home AFC,BERRIEN,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,AH110376315,Brentwood at Niles,BERRIEN,HFA,NOT IN COMPLIANCE,,2.0,,1.0,,1.0,,0.0
11-23-2020,AL110095313,Bridgman Retirement Home #2,BERRIEN,AFC, ,,0.0,,0.0,,1.0,,0.0
11-23-2020,AL110404614,Buchanan Meadows 1,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11-23-2020,AL110404615,Buchanan Meadows 2,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11-23-2020,AL110077442,Caretel Inns Of Royalton  - Dover,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL110087629,Caretel Inns Of Royalton - Bristol,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL110077441,Caretel Inns Of Royalton Arlington,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL110270687,Caretel Inns of Royalton Eaton,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,235361,Chalet of Niles-Nursing and Rehab Center,BERRIEN,SNF, ,0.0,17.0,0.0,2.0,0.0,18.0,0.0,0.0
11-23-2020,235605,Coventry House Inn,BERRIEN,SNF, ,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0
11-23-2020,AL110006891,Forest Beach Home Inc,BERRIEN,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL110306606,Fullerton House,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL110388340,Golden Age Manor,BERRIEN,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,AL110388345,Golden Shore,BERRIEN,AFC, ,,1.0,,0.0,,0.0,,0.0
11-23-2020,235544,Hallmark Living--Benton Harbor,BERRIEN,SNF, ,0.0,40.0,0.0,18.0,0.0,17.0,0.0,0.0
11-23-2020,AL110315890,Harvest Home,BERRIEN,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,235164,Pine Ridge - A Rehab & Nursing Center,BERRIEN,SNF, ,3.0,27.0,0.0,12.0,2.0,30.0,0.0,0.0
11-23-2020,235598,Riveridge Rehab. and Health Center,BERRIEN,SNF, ,33.0,62.0,2.0,5.0,14.0,42.0,0.0,0.0
11-23-2020,235623,Royalton Manor,BERRIEN,SNF, ,1.0,4.0,0.0,1.0,2.0,17.0,0.0,0.0
11-23-2020,AL110366288,Serenity Shore Assisted Living Facility,BERRIEN,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,AL110283714,The Willows Assisted Living #1,BERRIEN,AFC, ,,0.0,,0.0,,2.0,,0.0
11-23-2020,AL110283722,The Willows Assisted Living #2,BERRIEN,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,AL110283726,The Willows Assisted Living #3,BERRIEN,AFC, ,,0.0,,0.0,,3.0,,0.0
11-23-2020,AL110283729,The Willows Assisted Living #4,BERRIEN,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,235625,West Woods of Bridgman,BERRIEN,SNF, ,1.0,44.0,1.0,12.0,0.0,17.0,0.0,0.0
11-23-2020,235594,West Woods of Niles,BERRIEN,SNF, ,5.0,91.0,0.0,20.0,3.0,47.0,0.0,0.0
11-23-2020,AL110081163,Woodland Terrace  - Lilac Court,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL110073684,Woodland Terrace - Dogwood Court,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL110073685,Woodland Terrace - Magnolia Court,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AH110353051,Woodland Terrace at Longmeadow,BERRIEN,HFA, ,1.0,3.0,0.0,1.0,1.0,7.0,0.0,0.0
11-23-2020,AL110341658,Woodland Terrace of Paw Paw Lake,BERRIEN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL120074548,Drews Place Of Coldwater,BRANCH,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,AL120238692,Drews Place of Coldwater II,BRANCH,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,AL120337252,Grand Vista,BRANCH,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,235302,Laurels of Coldwater,BRANCH,SNF, ,36.0,60.0,4.0,5.0,19.0,35.0,0.0,0.0
11-23-2020,235008,Maple Lawn Medical Care Facility,BRANCH,SNF, ,4.0,7.0,1.0,1.0,3.0,23.0,0.0,0.0
11-23-2020,AH120378302,Masonville Place,BRANCH,HFA, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL120091717,Westbrook Home,BRANCH,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,235536,Advantage Living Center - Battle Creek,CALHOUN,SNF, ,0.0,20.0,0.0,5.0,1.0,19.0,0.0,0.0
11-23-2020,AH130278262,Battle Creek Bickford Cottage,CALHOUN,HFA,NOT IN COMPLIANCE,,0.0,,0.0,,0.0,,0.0
11-23-2020,AL130077500,Brookdale Battle Creek AL (MI),CALHOUN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL130077494,Brookdale Battle Creek MC (MI),CALHOUN,AFC, ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
11-23-2020,235237,Calhoun County Medical Care Facility,CALHOUN,SNF, ,0.0,45.0,0.0,9.0,1.0,47.0,0.0,0.0
11-23-2020,AH130254965,Care Community,CALHOUN,HFA,NOT IN COMPLIANCE,,0.0,,0.0,,0.0,,0.0
11-23-2020,235054,Evergreen Senior Care & Rehab Center,CALHOUN,SNF, ,0.0,3.0,0.0,0.0,1.0,8.0,0.0,0.0
11-23-2020,AL130363312,Grand Vista Of Marshall,CALHOUN,AFC, ,,3.0,,0.0,,2.0,,0.0
11-23-2020,AL130389471,Grand Vista Of Marshall 2,CALHOUN,AFC, ,,1.0,,0.0,,2.0,,0.0
11-23-2020,AL130006920,Haven AFC,CALHOUN,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,235023,Heartland HCC - Battle Creek,CALHOUN,SNF, ,12.0,15.0,0.0,0.0,8.0,14.0,0.0,0.0
11-23-2020,AL130401128,Infinity AFC,CALHOUN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL130006927,Kambly Living Center East,CALHOUN,AFC, ,,0.0,,0.0,,2.0,,0.0
11-23-2020,AL130076986,Kambly Living Center West,CALHOUN,AFC, ,,0.0,,0.0,,2.0,,0.0
11-23-2020,AH130316511,Lakeview Assisted Living HFA,CALHOUN,HFA, ,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
11-23-2020,235299,Laurels of Bedford,CALHOUN,SNF, ,1.0,20.0,0.0,5.0,1.0,12.0,0.0,0.0
11-23-2020,235174,Marshall Nursing & Rehab Community,CALHOUN,SNF, ,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
11-23-2020,235495,Medilodge of Marshall,CALHOUN,SNF, ,2.0,48.0,4.0,15.0,6.0,26.0,0.0,0.0
11-23-2020,AH130236857,NorthPointe Woods Assisted Living,CALHOUN,HFA, ,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
11-23-2020,AL130308847,Parkview Residence,CALHOUN,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL130361587,Pennfield Premier Living North,CALHOUN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AH130403849,The Heritage Assisted Living Community,CALHOUN,HFA,NOT IN COMPLIANCE,,0.0,,0.0,,1.0,,0.0
11-23-2020,AH130297466,The Legacy at the Oaks,CALHOUN,HFA, ,,0.0,,0.0,,3.0,,0.0
11-23-2020,235451,The Oaks at Northpointe Woods,CALHOUN,SNF, ,2.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0
11-23-2020,AH130299656,The Reflections,CALHOUN,HFA, ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11-23-2020,235352,Cass County Medical Care Facility,CASS,SNF, ,0.0,44.0,1.0,12.0,1.0,36.0,0.0,0.0
11-23-2020,AL140280138,Forest Glen Assisted Living,CASS,AFC, ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11-23-2020,235652,The Timbers of Cass County,CASS,SNF, ,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0
11-23-2020,235526,Boulder Park Terrace,CHARLEVOIX,SNF, ,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11-23-2020,235062,Grandvue Medical Care Facility,CHARLEVOIX,SNF, ,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0
11-23-2020,235566,Medilodge Of Cheboygan ,CHEBOYGAN,SNF, ,13.0,74.0,2.0,13.0,1.0,30.0,0.0,0.0
11-23-2020,235381,Chippewa County War Mem Hosp LTCU,CHIPPEWA,SNF, ,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
11-23-2020,AH170271455,Hearthside Assisted Living,CHIPPEWA,HFA, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,235292,Medilodge Of Sault Ste Marie,CHIPPEWA,SNF, ,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0
11-23-2020,AL170399127,Meridian Heights,CHIPPEWA,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL180283255,Horizon Senior Living II,CLARE,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL180079112,McBride Main Street Living,CLARE,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,235022,Medilodge of Clare,CLARE,SNF, ,1.0,9.0,0.0,0.0,4.0,6.0,0.0,0.0
11-23-2020,235464,North Woods Nursing Center,CLARE,SNF, ,0.0,40.0,2.0,12.0,0.0,34.0,0.0,0.0
11-23-2020,AL180392022,Pioneer Golden Estates Assisted Living,CLARE,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL180398411,Pioneer Golden Estates C,CLARE,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL180391857,Pioneer Golden Estates Memory Care,CLARE,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL180404676,Prestige Place I,CLARE,AFC, ,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
11-23-2020,AL180404678,Prestige Place II,CLARE,AFC, ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11-23-2020,AL190357883,"Addie's Acres, LLC",CLINTON,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL190404713,Addington Place of Dewitt 2,CLINTON,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL190404601,Addington Place of DeWitt 3,CLINTON,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL190294037,Grace Haven Assisted Living-Specialized Care,CLINTON,AFC,NOT IN COMPLIANCE,,0.0,,0.0,,0.0,,0.0
11-23-2020,AL190294006,Grace Haven Assisted Living-Supportive Care,CLINTON,AFC,NOT IN COMPLIANCE,,0.0,,0.0,,0.0,,0.0
11-23-2020,AL190316312,Gunnisonville Meadows,CLINTON,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,235602,Hazel I. Findlay Country Manor,CLINTON,SNF, ,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0
11-23-2020,235569,Ovid Healthcare Center,CLINTON,SNF, ,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
11-23-2020,235700,The Willows at East Lansing,CLINTON,SNF, ,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0
11-23-2020,AH190397181,The Woodlands Of DeWitt,CLINTON,HFA, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AH190401909,Vista Springs Imperial Park at Timber Ridge,CLINTON,HFA,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL190383348,"Vista Springs Timber Ridge, LLC 1",CLINTON,AFC, ,,0.0,,0.0,,3.0,,0.0
11-23-2020,AL190383347,"Vista Springs Timber Ridge, LLC 2",CLINTON,AFC, ,,0.0,,0.0,,3.0,,0.0
11-23-2020,AL190383349,"Vista Springs Timber Ridge, LLC 3",CLINTON,AFC, ,,1.0,,0.0,,3.0,,0.0
11-23-2020,235432,Grayling Nursing & Rehab Community,CRAWFORD,SNF, ,0.0,18.0,0.0,2.0,0.0,31.0,0.0,0.0
11-23-2020,235201,Munson Health Crawford Continuing Care ,CRAWFORD,SNF, ,0.0,18.0,0.0,2.0,0.0,17.0,0.0,0.0
11-23-2020,AL200337124,Northern Pines Assisted Living,CRAWFORD,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,235651,Bishop Noa Home for Senior Citizens,DELTA,SNF, ,0.0,3.0,0.0,0.0,2.0,9.0,0.0,0.0
11-23-2020,AH210236741,Bishop Noa Home for Senior Citizens HFA,DELTA,HFA, ,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
11-23-2020,AL210006946,Bridgewood Central,DELTA,AFC, ,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11-23-2020,AL210351928,Cedar Hill Assisted Living & Senior Housing,DELTA,AFC, ,,7.0,,1.0,,7.0,,0.0
11-23-2020,235244,Christian Park HCC,DELTA,SNF, ,1.0,63.0,2.0,21.0,0.0,45.0,0.0,0.0
11-23-2020,235179,Christian Park Village,DELTA,SNF, ,0.0,52.0,0.0,11.0,0.0,39.0,0.0,0.0
11-23-2020,AL210259500,Lakeview Assisted Living AFC,DELTA,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL210302204,Lakeview Assisted Living II,DELTA,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL210386348,"Lakeview Assisted Living IV, LLC",DELTA,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AH210396377,Murrays Country View,DELTA,HFA, ,,6.0,,0.0,,5.0,,0.0
11-23-2020,AL210303633,St. Jude's AFC Home,DELTA,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL220291989,Belgium Pointe,DICKINSON,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,235612,Freeman Nursing & Rehab,DICKINSON,SNF, ,13.0,22.0,1.0,1.0,0.0,7.0,0.0,0.0
11-23-2020,235267,Manorcare Nursing and Rehab Center,DICKINSON,SNF, ,0.0,58.0,0.0,9.0,0.0,40.0,0.0,0.0
11-23-2020,AH230387590,Bickford of W Lansing,EATON,HFA, ,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
11-23-2020,AL230079864,Brookdale Delta AL,EATON,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AH230236932,Brookdale Delta MC (MI),EATON,HFA, ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11-23-2020,235256,Dimondale Nursing Care Center,EATON,SNF, ,3.0,7.0,0.0,0.0,4.0,11.0,0.0,0.0
11-23-2020,AL230404953,Divine Life Assisted Living Center 4 LLC,EATON,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,235027,Eaton County Health and Rehabilitation ,EATON,SNF, ,0.0,3.0,0.0,0.0,2.0,39.0,0.0,0.0
11-23-2020,AL230256414,Fairview AFC,EATON,AFC, ,,0.0,,0.0,,1.0,,0.0
11-23-2020,AH230360690,Fairview Grand,EATON,HFA, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,AL230290825,Hope Landing,EATON,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AH230298361,Island City Assisted Living,EATON,HFA, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,235285,Medilodge Of Lansing,EATON,SNF, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL230393335,New Life Assisted Living Center Lansing 1,EATON,AFC, ,,0.0,,0.0,,0.0,,0.0
