State_County,State_FacilityName,State_CMS_ProvNum,State_ReportingDate,State_confirmed_cases,State_deaths,State_CFR,State_outbreaks,State_Closed_Outbreaks,State_Open_Outbreaks,State_facilities,CMS_Week Ending,CMS_Federal Provider Number,CMS_Provider Name,CMS_Provider Address,CMS_Provider City,CMS_Provider State,CMS_Provider Zip Code,CMS_County,CMS_Number of All Beds
Cook,Generations at Regency,145237,2020-05-29,97,25,0.25773195876288657,1,0,1,1,2020-12-06,145237,GENERATIONS AT REGENCY,6631 MILWAUKEE AVENUE,NILES,IL,60714,Cook,300.0
Cook,Atrium Health Care Center,145479,2020-05-29,97,10,0.10309278350515463,1,0,1,1,2020-12-06,145479,ATRIUM HEALTH CARE CENTER,1425 WEST ESTES AVENUE,CHICAGO,IL,60626,Cook,160.0
DuPage,Oakbrook Care,145458,2020-05-29,93,17,0.1827956989247312,1,0,1,1,2020-12-06,145458,OAK BROOK CARE,2013 MIDWEST ROAD,OAK BROOK,IL,60521,DuPage,156.0
Madison,Edwardsville Care Center,145555,2020-05-29,93,22,0.23655913978494625,1,0,1,1,2020-12-06,145555,EDWARDSVILLE NSG & REHAB CTR,401 ST MARY DRIVE,EDWARDSVILLE,IL,62025,Madison,105.0
DuPage,Windsor Park Manor,No Match,2020-05-29,93,21,0.2258064516129032,1,0,1,1,,,,,,,,,
Macon,Fairhavens Senior Living,145422,2020-05-29,92,18,0.1956521739130435,1,0,1,1,2020-12-06,145422,FAIR HAVENS SENIOR LIVING,1790 SOUTH FAIRVIEW AVENUE,DECATUR,IL,62521,Macon,143.0
Cook,Aperion Care International of Chicago,146001,2020-05-29,90,13,0.14444444444444446,1,0,1,1,2020-12-06,146001,APERION CARE INTERNATIONAL,4815 SOUTH WESTERN AVE,CHICAGO,IL,60609,Cook,218.0
DuPage,Alden Estates of Naperville,145582,2020-05-29,87,22,0.25287356321839083,1,0,1,1,2020-12-06,145582,ALDEN ESTATES OF NAPERVILLE,1525 SOUTH OXFORD LANE,NAPERVILLE,IL,60565,DuPage,203.0
Cook,Bellhaven Nursing and Rehabilitation,145549,2020-05-29,87,5,0.057471264367816084,1,0,1,1,2020-12-06,145549,BELHAVEN NURSING & REHAB CENTER,11401 SOUTH OAKLEY AVENUE,CHICAGO,IL,60643,Cook,221.0
Cook,Generations at Elmwood Park,145419,2020-05-29,86,16,0.18604651162790695,1,0,1,1,2020-12-06,145419,GENERATIONS AT ELMWOOD PARK,7733 WEST GRAND AVENUE,ELMWOOD PARK,IL,60707,Cook,244.0
Cook,Addolorata Villa,145724,2020-05-29,86,10,0.11627906976744184,1,0,1,1,2020-12-06,145724,ADDOLORATA VILLA,555 MCHENRY ROAD,WHEELING,IL,60090,Cook,149.0
Cook,Landmark of Des Plaines,145334,2020-05-29,86,20,0.2325581395348837,1,0,1,1,2020-12-06,145334,LANDMARK OF DES PLAINES REHAB,9300 BALLARD ROAD,DES PLAINES,IL,60016,Cook,191.0
Clinton,Carlyle HealthCare Center,145729,2020-05-29,85,15,0.17647058823529413,1,0,1,1,2020-12-06,145729,CARLYLE HEALTHCARE CENTER,501 CLINTON STREET,CARLYLE,IL,62231,Clinton,109.0
Boone,Symphony Northwoods,No Match,2020-05-29,84,11,0.13095238095238096,1,0,1,1,,,,,,,,,
Cook,Bria River Oaks,145735,2020-05-29,83,1,0.012048192771084338,1,0,1,1,2020-12-06,145735,BRIA OF RIVER OAKS,14500 SOUTH MANISTEE,BURNHAM,IL,60633,Cook,
Cook,Aperion Care Oak Lawn,145197,2020-05-29,82,18,0.2195121951219512,1,0,1,1,2020-12-06,145197,APERION CARE OAK LAWN,9401 SOUTH RIDGELAND AVENUE,OAK LAWN,IL,60453,Cook,133.0
Cook,Central Nursing Home,145648,2020-05-29,81,16,0.19753086419753085,1,0,1,1,2020-12-06,145648,CENTRAL NURSING HOME,2450 NORTH CENTRAL AVENUE,CHICAGO,IL,60639,Cook,245.0
Cook,Community Care Nursing Home,146164,2020-05-29,80,5,0.0625,1,0,1,1,2020-12-06,146164,COMMUNITY CARE CENTER,4314 SOUTH WABASH AVENUE,CHICAGO,IL,60653,Cook,204.0
Cook,Bria of Palos Hills,145650,2020-05-29,79,11,0.13924050632911392,1,0,1,1,2020-12-06,145650,BRIA OF PALOS HILLS,10426 SOUTH ROBERTS,PALOS HILLS,IL,60465,Cook,
Cook,Beacon Care Center,145776,2020-05-29,78,14,0.1794871794871795,1,0,1,1,2020-12-06,145776,BEACON HEALTH CENTER,4538 NORTH BEACON,CHICAGO,IL,60640,Cook,
DuPage,Providence Healthcare & Rehabilitation Center,145657,2020-05-29,78,13,0.16666666666666666,1,0,1,1,2020-12-06,145657,PROVIDENCE DOWNERS GROVE,3450 SARATOGA AVENUE,DOWNERS GROVE,IL,60515,DuPage,
Coles,Charleston Rehab and Healthcare,145636,2020-05-29,76,13,0.17105263157894735,1,0,1,1,2020-12-06,145636,CHARLESTON REHAB & HEALTH CC,716 EIGHTEENTH STREET,CHARLESTON,IL,61920,Coles,139.0
McHenry,Alden Terrace of McHenry,145453,2020-05-29,75,11,0.14666666666666667,1,0,1,1,2020-12-06,145453,ALDEN TERRACE OF MCHENRY REHAB,803 ROYAL DRIVE,MCHENRY,IL,60050,McHenry,316.0
Cook,Alden Estates of Northmoor,145888,2020-05-29,75,13,0.17333333333333334,1,0,1,1,2020-12-06,145888,ALDEN ESTATES OF NORTHMOOR,5831 NORTH NORTHWEST HIGHWAY,CHICAGO,IL,60631,Cook,198.0
Lake,Warren Barr North Shore,145923,2020-05-29,75,11,0.14666666666666667,1,0,1,1,2020-12-06,145923,WARREN BARR NORTH SHORE,2773 SKOKIE VALLEY ROAD,HIGHLAND PARK,IL,60035,Lake,215.0
Lake,Elevate Care Waukegan,145669,2020-05-29,74,10,0.13513513513513514,1,0,1,1,2020-12-06,145669,ELEVATE CARE WAUKEGAN,2222 WEST 14TH STREET,WAUKEGAN,IL,60085,Lake,271.0
Cook,Chalet Living And Rehab Center,145670,2020-05-29,74,10,0.13513513513513514,1,0,1,1,2020-12-06,145670,CHALET LIVING & REHAB,7350 NORTH SHERIDAN ROAD,CHICAGO,IL,60626,Cook,219.0
Lee,Jack Mabley Developmental Center,No Match,2020-05-29,74,1,0.013513513513513514,1,0,1,1,,,,,,,,,
Jefferson,GreenTree at Mt. Vernon,No Match,2020-05-29,73,15,0.2054794520547945,1,0,1,1,,,,,,,,,
Cook,Generations at Applewood,145781,2020-05-29,71,16,0.22535211267605634,1,0,1,1,2020-12-06,145781,GENERATIONS AT APPLEWOOD,21020 KOSTNER AVENUE,MATTESON,IL,60443,Cook,154.0
Lake,Warren Barr Lincolnshire,146028,2020-05-29,71,1,0.014084507042253518,1,0,1,1,2020-12-06,146028,WARREN BARR LINCOLNSHIRE,150 JAMESTOWN LANE,LINCOLNSHIRE,IL,60069,Lake,144.0
Cook,Avantara Evergreen Park,145734,2020-05-29,70,14,0.2,1,0,1,1,2020-12-06,145734,AVANTARA EVERGREEN PARK,10124 SOUTH KEDZIE,EVERGREEN PARK,IL,60805,Cook,184.0
Cook,Center Home for Hispanic Elderly,146062,2020-05-29,70,29,0.4142857142857143,1,0,1,1,2020-12-06,146062,CENTER HOME HISPANIC ELDERLY,1401 NORTH CALIFORNIA,CHICAGO,IL,60622,Cook,156.0
Lake,Bayside Terrace,No Match,2020-05-29,70,1,0.014285714285714284,1,0,1,1,,,,,,,,,
McHenry,Cross Roads Care Center,145222,2020-05-29,68,10,0.14705882352941174,1,0,1,1,2020-12-06,145222,CROSSROADS CARE CTR WOODSTOCK,309 MCHENRY AVENUE,WOODSTOCK,IL,60098,McHenry,115.0
DuPage,Abbington Rehab & Nursing Center,146065,2020-05-29,68,5,0.07352941176470587,1,0,1,1,2020-12-06,146065,ABBINGTON REHAB & NURSING CTR,31 WEST CENTRAL,ROSELLE,IL,60172,DuPage,82.0
Cook,Alden Lincoln Park Rehab,145126,2020-05-29,68,8,0.1176470588235294,1,0,1,1,2020-12-06,145126,ALDEN LINCOLN REHAB & H C CTR,504 WEST WELLINGTON AVENUE,CHICAGO,IL,60657,Cook,96.0
Cook,Norridge Gardens,145329,2020-05-29,66,30,0.4545454545454545,1,0,1,1,2020-12-06,145329,NORRIDGE GARDENS,7001 WEST CULLOM,NORRIDGE,IL,60634,Cook,292.0
Cook,Smith Village,145904,2020-05-29,66,13,0.19696969696969696,1,0,1,1,2020-12-06,145904,SMITH VILLAGE,2320 WEST 113TH PLACE,CHICAGO,IL,60643,Cook,
Lake,Riverside Foundation,No Match,2020-05-29,65,5,0.07692307692307693,1,0,1,1,,,,,,,,,
Kane,Asbury Gardens,146170,2020-05-29,65,13,0.2,1,0,1,1,2020-12-06,146170,ASBURY GARDENS NSG & REHAB,212 AIRPORT ROAD,NORTH AURORA,IL,60542,Kane,
Cook,Waterfront Terrace,145939,2020-05-29,64,10,0.15625,1,0,1,1,2020-12-06,145939,WATERFRONT TERRACE,7750 SOUTH SHORE DRIVE,CHICAGO,IL,60649,Cook,118.0
Will,Presence Villa Franciscan,145029,2020-05-29,64,13,0.203125,1,0,1,1,2020-12-06,145029,ASCENSION VILLA FRANCISCAN,210 NORTH SPRINGFIELD AVENUE,JOLIET,IL,60435,Will,154.0
Cook,Buckingham Pavilion,145285,2020-05-29,64,10,0.15625,1,0,1,1,2020-12-06,145285,BUCKINGHAM PAVILION,2625 WEST TOUHY AVENUE,CHICAGO,IL,60645,Cook,235.0
Cook,Elevate Care Irving Park,145415,2020-05-29,64,12,0.1875,1,0,1,1,2020-12-06,145415,ELEVATE CARE IRVING PARK,4340 NORTH KEYSTONE,CHICAGO,IL,60641,Cook,101.0
Cook,Elevate Care Northbrook,145171,2020-05-29,63,11,0.1746031746031746,1,0,1,1,2020-12-06,145171,ELEVATE CARE NORTHBROOK,270 SKOKIE HIGHWAY,NORTHBROOK,IL,60062,Cook,298.0
Cook,Citadel of Waterford,No Match,2020-05-29,63,10,0.15873015873015872,1,0,1,1,,,,,,,,,
Cook,MADO Healthcare Uptown,146191,2020-05-29,63,6,0.09523809523809523,1,0,1,1,2020-12-06,146191,MADO HEALTHCARE - UPTOWN,4621 NORTH RACINE AVENUE,CHICAGO,IL,60640,Cook,
Lake,Wauconda Care,145887,2020-05-29,62,17,0.27419354838709675,1,0,1,1,2020-12-06,145887,WAUCONDA CARE,176 THOMAS COURT,WAUCONDA,IL,60084,Lake,135.0
DuPage,Lexington of Bloomingdale,145638,2020-05-29,61,13,0.21311475409836064,1,0,1,1,2020-12-06,145638,LEXINGTON HLTH CR CTR-BLMNGDL,165 SOUTH BLOOMINGDALE ROAD,BLOOMINGDALE,IL,60108,DuPage,142.0
Winnebago,Alden Debes Rehab Inc,145142,2020-05-29,60,14,0.2333333333333333,1,0,1,1,2020-12-06,145142,ALDEN DEBES REHAB & HCC,550 SOUTH MULFORD AVENUE,ROCKFORD,IL,61108,Winnebago,268.0
Lake,Belmont Village of Buffalo Grove,No Match,2020-05-29,60,18,0.3,1,0,1,1,,,,,,,,,
Cook,Lakeview Nursing and Rehab,145654,2020-05-29,60,19,0.31666666666666665,1,0,1,1,2020-12-06,145654,LAKEVIEW  REHAB & NURSING CENTER,735 WEST DIVERSEY,CHICAGO,IL,60614,Cook,178.0
Lake,Claridge Health Center,145434,2020-05-29,60,16,0.26666666666666666,1,0,1,1,2020-12-06,145434,CLARIDGE HEALTHCARE CENTER,700 JENKISSON,LAKE BLUFF,IL,60044,Lake,231.0
Cook,ManorCare ElkGrove Village,145689,2020-05-29,60,8,0.13333333333333333,1,0,1,1,2020-12-06,145689,MANORCARE OF ELK GROVE VILLAGE,1920 NERGE ROAD,ELK GROVE VILLAGE,IL,60007,Cook,
Madison,Eden Village Care Center,145384,2020-05-29,60,18,0.3,1,0,1,1,2020-12-06,145384,EDEN VILLAGE CARE CENTER,400 SOUTH STATION ROAD,GLEN CARBON,IL,62034,Madison,128.0
Lake,Elevate Care Riverwoods,145304,2020-05-29,59,11,0.1864406779661017,1,0,1,1,2020-12-06,145304,ELEVATE CARE RIVERWOODS,3705 DEERFIELD ROAD,RIVERWOODS,IL,60015,Lake,240.0
Lake,The Grove By the Lake,145665,2020-05-29,59,8,0.13559322033898305,1,1,0,1,2020-12-06,145665,"GROVE AT THE LAKE,THE",2534 ELIM AVENUE,ZION,IL,60099,Lake,244.0
Clinton,Warrren G Murray Develpmental Center,No Match,2020-05-29,59,0,0.0,1,0,1,1,,,,,,,,,
Lake,Aperion Care Highwood,145936,2020-05-29,59,5,0.0847457627118644,1,0,1,1,2020-12-06,145936,APERION CARE HIGHWOOD,50 PLEASANT AVENUE,HIGHWOOD,IL,60040,Lake,104.0
DuPage,Chateau Center Nursing & Rehabilitation,145614,2020-05-29,58,12,0.20689655172413796,1,1,0,1,2020-12-06,145614,CHATEAU NRSG & REHAB CENTER,7050 MADISON STREET,WILLOWBROOK,IL,60521,DuPage,150.0
Cook,Avanti Wellness & Rehabilitation ,No Match,2020-05-29,58,12,0.20689655172413796,1,0,1,1,,,,,,,,,
Cook,Alden Wentworth  Rehab & Healthcare Center,No Match,2020-05-29,58,10,0.1724137931034483,1,0,1,1,,,,,,,,,
Cook,Little Sisters of the Poor/St. Marys Home,146185,2020-05-29,57,10,0.17543859649122806,1,0,1,1,2020-12-06,146185,LITTLE SISTERS OF THE POOR,2325 NORTH LAKEWOOD AVENUE,CHICAGO,IL,60614,Cook,75.0
McLean,Bloomington Rehabilitation and Healthcare Center,145610,2020-05-29,56,10,0.17857142857142858,1,0,1,1,2020-12-06,145610,BLOOMINGTON REHABILITATION & HCC,1925 SOUTH MAIN STREET,BLOOMINGTON,IL,61701,McLean,52.0
Kankakee,Riverside Miller Rehabilitation,No Match,2020-05-29,56,17,0.3035714285714285,1,0,1,1,,,,,,,,,
Cook,Windsor Estates,145967,2020-05-29,55,18,0.3272727272727273,1,0,1,1,2020-12-06,145967,WINDSOR ESTATES NSG & REHAB,18300 SOUTH LAVERGNE,COUNTRY CLUB HILLS,IL,60478,Cook,200.0
Will,The PARC of Joliet,145221,2020-05-29,53,10,0.18867924528301888,1,0,1,1,2020-12-06,145221,PARC JOLIET,222 NORTH HAMMES,JOLIET,IL,60435,Will,175.0
Cook,ManorCare Health Services-Palos Heights West,145893,2020-05-29,52,14,0.2692307692307692,1,0,1,1,2020-12-06,145893,MANORCARE OF PALOS HEIGHTS WEST,11860 SOUTHWEST HIGHWAY,PALOS HEIGHTS,IL,60463,Cook,130.0
Cook,Dobson Plaza,145122,2020-05-29,52,9,0.17307692307692307,1,0,1,1,2020-12-06,145122,DOBSON PLAZA,120 DODGE AVENUE,EVANSTON,IL,60202,Cook,97.0
Cook,ManorCare Palos Heights East,145607,2020-05-29,51,5,0.09803921568627452,1,0,1,1,2020-12-06,145607,MANORCARE OF PALOS HEIGHTS EAST,7850 WEST COLLEGE DRIVE,PALOS HEIGHTS,IL,60463,Cook,168.0
Cook,Symphony of Bronzeville,145337,2020-05-29,51,15,0.29411764705882354,1,0,1,1,2020-12-06,145337,SYMPHONY OF BRONZEVILLE,3400 SOUTH INDIANA,CHICAGO,IL,60616,Cook,302.0
St. Clair,Lebanon Care Center ,No Match,2020-05-29,51,10,0.19607843137254904,1,0,1,1,,,,,,,,,
Cook,ManorCare Oak Lawn West,145087,2020-05-29,51,10,0.19607843137254904,1,0,1,1,2020-12-06,145087,MANORCARE OF OAK LAWN WEST,6300 WEST 95TH STREET,OAK LAWN,IL,60453,Cook,192.0
Cook,Warren Barr Lincoln Park,145875,2020-05-29,50,10,0.2,1,0,1,1,2020-12-06,145875,WARREN BARR LINCOLN PARK,2732 NORTH HAMPDEN COURT,CHICAGO,IL,60614,Cook,89.0
Cook,BRIA of Chicago Heights,145898,2020-05-29,50,1,0.02,1,0,1,1,2020-12-06,145898,BRIA OF CHICAGO HEIGHTS,120 WEST 26TH STREET,SOUTH CHICAGO HEIGHT,IL,60411,Cook,
Cook,Chicago Ridge Nursing and Rehab,145639,2020-05-29,49,15,0.30612244897959184,1,0,1,1,2020-12-06,145639,CHICAGO RIDGE NURSING CENTER,10602 SOUTHWEST  HIGHWAY,CHICAGO RIDGE,IL,60415,Cook,231.0
Kane,Fox River Rehab and Healthcare,145821,2020-05-29,49,10,0.20408163265306126,1,0,1,1,2020-12-06,145821,FOX RIVER REHAB & HEALTHCARE,2355 ROYAL BOULEVARD,ELGIN,IL,60123,Kane,139.0
Jasper,Newton Care Center,145807,2020-05-29,49,7,0.14285714285714285,1,0,1,1,2020-12-06,145807,HELIA HEALTHCARE OF NEWTON,300 S SCOTT STREET,NEWTON,IL,62448,Jasper,55.0
Will,St James Manor,145611,2020-05-29,48,16,0.3333333333333333,1,0,1,1,2020-12-06,145611,ST JAMES WELLNESS REHAB VILLAS,1251 EAST RICHTON ROAD,CRETE,IL,60417,Will,110.0
Cook,Manor Care Health Services-Homewood,145684,2020-05-29,48,13,0.2708333333333333,1,0,1,1,2020-12-06,145684,MANORCARE OF HOMEWOOD,940 MAPLE AVENUE,HOMEWOOD,IL,60430,Cook,132.0
Cook,Arbour Health Care Center,146169,2020-05-29,48,1,0.02083333333333333,1,0,1,1,2020-12-06,146169,ARBOUR HEALTH CARE CENTER,1512 WEST FARGO,CHICAGO,IL,60626,Cook,99.0
Cook,Clark Manor,145507,2020-05-29,48,8,0.16666666666666666,1,0,1,1,2020-12-06,145507,CLARK MANOR,7433 NORTH CLARK STREET,CHICAGO,IL,60626,Cook,267.0
Union,Integrity of Anna,146006,2020-05-29,47,5,0.10638297872340426,1,0,1,1,2020-12-06,146006,INTEGRITY HC OF ANNA,315 SOUTH BRADY MILL ROAD,ANNA,IL,62906,Union,70.0
DuPage,Westmont Manor Health and Rehab Center,145338,2020-05-29,46,11,0.2391304347826087,1,0,1,1,2020-12-06,145338,WESTMONT MANOR HLTH & RHB,512 EAST OGDEN AVENUE,WESTMONT,IL,60559,DuPage,149.0
Will,Sunny Hill Nursing Home,145892,2020-05-29,46,16,0.3478260869565217,1,0,1,1,2020-12-06,145892,SUNNY HILL NURSING HOME OF WILL COUNTY,421 DORIS AVENUE,JOLIET,IL,60433,Will,157.0
Cook,Bella Terra Morton Grove,145198,2020-05-29,46,5,0.10869565217391304,1,0,1,1,2020-12-06,145198,BELLA TERRA MORTON GROVE,8425 WAUKEGAN ROAD,MORTON GROVE,IL,60053,Cook,171.0
Cook,Southpoint Nsg and Rehab,145914,2020-05-29,45,4,0.08888888888888889,1,0,1,1,2020-12-06,145914,SOUTHPOINT NURSING & REHAB CENTER,1010 WEST 95TH STREET,CHICAGO,IL,60643,Cook,228.0
Cook,Alden Princeton Rehab & Health,145688,2020-05-29,45,10,0.2222222222222222,1,0,1,1,2020-12-06,145688,PRINCETON REHAB & HCC,255 WEST 69TH STREET,CHICAGO,IL,60621,Cook,225.0
Cook,Meadowbrook Manor,145710,2020-05-29,45,11,0.24444444444444444,1,0,1,1,2020-12-06,145710,MEADOWBROOK MANOR,431 WEST REMINGTON BOULEVARD,BOLINGBROOK,IL,60440,Will,298.0
DuPage,Wheaton Village,145715,2020-05-29,45,6,0.13333333333333333,1,0,1,1,2020-12-06,145715,WHEATON VILLAGE NRSG & RHB CTR,1325 MANCHESTER ROAD,WHEATON,IL,60187,DuPage,123.0
Cook,Symphony of Chicago West,145661,2020-05-29,45,7,0.15555555555555556,1,0,1,1,2020-12-06,145661,SYMPHONY OF CHICAGO WEST,5130 WEST JACKSON BOULEVARD,CHICAGO,IL,60644,Cook,234.0
Cook,Sunrise of Park Ridge,No Match,2020-05-29,45,10,0.2222222222222222,1,0,1,1,,,,,,,,,
Cook,Pauls House,No Match,2020-05-29,45,5,0.1111111111111111,1,0,1,1,,,,,,,,,
