County,Provider Name,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities,VLOOKUP,Change Score
Champaign,ILLINI HERITAGE REHAB AND HEALTH,2020-11-13,2,0,0.0,1,1,ILLINI HERITAGE REHAB & HC,88
Champaign,MEADOWBROOK AT CLARK-LINDSEY,2020-11-13,16,0,0.0,2,1,CLARK-LINDSEY VILLAGE,72
Champaign,PRAIRIE WINDS OF URBANA,2020-11-13,3,0,0.0,1,1,CHAMPAIGN URBANA NRSG & REHAB,49
Champaign,REFLECTIONS MEMORY CARE,2020-11-13,28,4,0.14285714285714285,1,1,CLARK-LINDSEY VILLAGE,45
Champaign,UNIVERSITY REHAB CENTER,2020-11-13,14,0,0.0,2,1,UNIVERSITY REHAB,95
Champaign,UNIVERSITY REHABILITATION CENTER,2020-11-13,4,0,0.0,1,1,UNIVERSITY REHAB,90
Champaign,VILLAS OF HOLLYBROOK-RANTOUL,2020-11-13,5,0,0.0,1,1,CLARK-LINDSEY VILLAGE,43
Champaign,WINDSOR AT SAVOY,2020-11-13,2,0,0.0,1,1,CHAMPAIGN URBANA NRSG & REHAB,34
Christian,HERITAGE HEALTH OF PANA,2020-11-13,2,0,0.0,1,1,HERITAGE HEALTH-PANA,95
Christian,HICKORY ESTATES OF PANA,2020-11-13,2,0,0.0,1,1,HERITAGE HEALTH-PANA,51
Christian,LIFES JOURNEY,2020-11-13,8,2,0.25,1,1,TAYLORVILLE CARE CENTER,41
Christian,PRAIRIE ROSE,2020-11-13,2,0,0.0,1,1,PRAIRIE ROSE HEALTH CARE CTR,90
Christian,TAYLORVILLE CARE CENTER,2020-11-13,91,16,0.17582417582417584,1,1,TAYLORVILLE CARE CENTER,100
Christian,TAYLORVILLE ESTATES,2020-11-13,2,0,0.0,1,1,TAYLORVILLE CARE CENTER,71
Christian,TAYLORVILLE HICKORY ESTATES,2020-11-13,2,0,0.0,1,1,TAYLORVILLE CARE CENTER,72
Christian,TAYLORVILLE SKILLED NURSING (FKA MEADOW MANOR),2020-11-13,53,4,0.07547169811320754,1,1,TAYLORVILLE CARE CENTER,86
Christian,VILLAS OF HOLLY BROOK,2020-11-13,2,0,0.0,1,1,TAYLORVILLE SKLD NUR & REHAB,41
Clark,HEARTLAND MANOR NURSING HOME,2020-11-13,62,16,0.25806451612903225,1,1,HEARTLAND NURSING & REHAB,81
Clark,MARSHALL REHAB,2020-11-13,3,0,0.0,1,1,MARSHALL REHAB & NURSING,90
Clark,VILLAS OF HOLLY BROOK MARSHALL,2020-11-13,8,0,0.0,1,1,MARSHALL REHAB & NURSING,50
Clark,"VILLAS OF HOLLY BROOK MARSHALL, CLARK",2020-11-13,21,0,0.0,1,1,MARSHALL REHAB & NURSING,86
Clay,FLORA GARDENS,2020-11-13,61,13,0.21311475409836064,1,1,FLORA GARDENS CARE CENTER,90
Clay,HERITAGE WOODS OF FLORA,2020-11-13,3,0,0.0,1,1,FLORA GARDENS CARE CENTER,48
Clinton,AVISTON COUNTRYSIDE MANOR,2020-11-13,55,7,0.12727272727272726,1,1,AVISTON COUNTRYSIDE MANOR,100
Clinton,BREESE NURSING HOME,2020-11-13,50,8,0.16,1,1,BREESE NURSING HOME,100
Clinton,CARLYLE HEALTHCARE CENTER,2020-11-13,85,15,0.17647058823529413,1,1,CARLYLE HEALTHCARE CENTER,100
Clinton,CARLYLE HEALTHCARE CENTER,2020-11-13,29,1,0.03448275862068965,1,1,CARLYLE HEALTHCARE CENTER,100
Clinton,CLINTON MANOR LIVING CENTER,2020-11-13,6,0,0.0,1,1,CLINTON MANOR LIVING CENTER,100
Clinton,CLINTON MANOR LIVING FACILITY,2020-11-13,44,1,0.022727272727272728,2,1,CLINTON MANOR LIVING CENTER,82
Clinton,TRENTON VILLAGE RETIREMENT,2020-11-13,37,2,0.054054054054054064,1,1,CARLYLE HEALTHCARE CENTER,47
Clinton,VILLA CATHERINE,2020-11-13,7,0,0.0,1,1,CARLYLE HEALTHCARE CENTER,48
Clinton,WARREN G MURRAY DEVELOPMENTAL CENTER,2020-11-13,2,0,0.0,1,1,CARLYLE HEALTHCARE CENTER,49
Clinton,WARREN G. MURRAY DEVELOPMENTAL CENTER,2020-11-13,6,0,0.0,1,1,CARLYLE HEALTHCARE CENTER,48
Clinton,WARRREN G MURRAY DEVELPMENTAL CENTER,2020-11-13,62,0,0.0,1,1,CARLYLE HEALTHCARE CENTER,49
Coles,BROOKSTONE ESTATES NORTH,2020-11-13,5,0,0.0,1,1,CHARLESTON REHAB & HEALTH CC,46
Coles,CHARLESTON REHAB AND HEALTHCARE,2020-11-13,95,17,0.17894736842105266,1,1,MATTOON REHAB & HCC,86
Coles,COPPER CREEK COTTAGES,2020-11-13,23,6,0.2608695652173913,1,1,ODD FELLOW-REBEKAH HOME,45
Coles,CTF CHARLESTON,2020-11-13,12,0,0.0,1,1,CHARLESTON REHAB & HEALTH CC,86
Coles,HILLTOP SKILLED NURSING,2020-11-13,70,5,0.07142857142857142,1,1,HILLTOP SKILLED NSG & REHAB,76
Coles,MATTOON HEALTHCARE,2020-11-13,5,0,0.0,2,1,MATTOON REHAB & HCC,66
Coles,MATTOON REHABILITATION AND HEALTH CARE CENTER,2020-11-13,98,11,0.11224489795918367,1,1,CHARLESTON REHAB & HEALTH CC,86
Coles,ODD FELLOW REBEKAH,2020-11-13,28,5,0.17857142857142858,1,1,ODD FELLOW-REBEKAH HOME,95
Coles,VILLAS OF HOLLY,2020-11-13,7,0,0.0,1,1,PALM TERRACE OF MATTOON,86
Cook,ABINGTON OF GLENVIEW,2020-11-13,8,1,0.125,1,1,ABINGTON OF GLENVIEW NURSING,95
Cook,ADDOLORATA VILLA,2020-11-13,106,20,0.18867924528301888,2,1,ADDOLORATA VILLA,100
Cook,ALBANY CARE,2020-11-13,29,0,0.0,1,1,APERION CARE BURBANK,86
Cook,ALDEN,2020-11-13,37,0,0.0,1,1,ALDEN DES PLAINES REHAB & HC,90
Cook,ALDEN ESTATES DES PLAINES,2020-11-13,23,3,0.13043478260869565,2,1,ALDEN DES PLAINES REHAB & HC,77
Cook,ALDEN ESTATES OF BARRINGTON,2020-11-13,32,0,0.0,2,1,ALDEN ESTATES OF BARRINGTON,100
Cook,ALDEN ESTATES OF EVANSTON,2020-11-13,18,2,0.1111111111111111,1,1,ALDEN ESTATES OF EVANSTON,100
Cook,ALDEN ESTATES OF NORTHMOOR,2020-11-13,98,19,0.19387755102040816,1,1,ALDEN ESTATES OF NORTHMOOR,100
Cook,ALDEN ESTATES OF ORLAND PARK,2020-11-13,44,13,0.2954545454545455,1,1,ALDEN ESTATES OF ORLAND PARK,100
Cook,ALDEN ESTATES OF SKOKIE,2020-11-13,6,0,0.0,1,1,ALDEN ESTATES OF SKOKIE,100
Cook,ALDEN ESTATES OF SKOKIE,2020-11-13,3,0,0.0,1,1,ALDEN ESTATES OF SKOKIE,100
Cook,ALDEN LAKELAND,2020-11-13,120,2,0.016666666666666666,3,1,ALDEN LAKELAND REHAB & HCC,90
Cook,ALDEN LINCOLN PARK REHAB,2020-11-13,80,13,0.1625,2,1,LANDMARK OF RICHTON PARK REHAB & NSG CTR,86
Cook,ALDEN NORTH SHORE,2020-11-13,4,0,0.0,1,1,ALDEN NORTH SHORE REHAB & HCC,90
Cook,ALDEN NORTH SHORE,2020-11-13,2,0,0.0,1,1,ALDEN NORTH SHORE REHAB & HCC,90
Cook,ALDEN POPLARCREEK,2020-11-13,91,26,0.2857142857142857,1,1,ALDEN DES PLAINES REHAB & HC,86
Cook,ALDEN PRINCETON REHAB & HEALTH,2020-11-13,54,12,0.2222222222222222,1,1,BEACON HEALTH CENTER,86
Cook,ALDEN TOWN MANOR CARE,2020-11-13,3,0,0.0,1,1,CLARK MANOR,86
Cook,ALDEN TOWN MANOR REHABILITATION & HEALTH CARE CENT,2020-11-13,112,22,0.19642857142857145,1,1,ALDEN DES PLAINES REHAB & HC,86
Cook,ALDEN VILLAGE NORTH,2020-11-13,28,0,0.0,2,1,ALDEN LINCOLN REHAB & H C CTR,86
Cook,ALDEN WENTWORTH REHAB & HEALTHCARE CENTER,2020-11-13,71,15,0.2112676056338028,1,1,ALDEN ESTATES OF BARRINGTON,86
Cook,ALDEN WENTWORTH REHAB & HEALTHCARE CENTER,2020-11-13,10,0,0.0,1,1,ALDEN ESTATES OF BARRINGTON,86
Cook,ALEXIAN VILLAGE,2020-11-13,6,0,0.0,1,1,CENTRAL BAPTIST VILLAGE,86
Cook,ALL AMERICAN NURSING HOME,2020-11-13,50,4,0.08,1,1,ALL AMERICAN NURSING HOME,100
Cook,ALL SAINTS,2020-11-13,3,0,0.0,1,1,ALL AMERICAN NURSING HOME,86
Cook,AMBASSADOR NURSING,2020-11-13,120,9,0.075,2,1,AMBASSADOR NURSING & REHAB CENTER,90
Cook,AMITA HEALTH HOLY FAMILY MEDICAL CENTER,2020-11-13,30,1,0.03333333333333333,2,1,ARBOUR HEALTH CARE CENTER,86
Cook,APERION CARE BURBANK,2020-11-13,9,1,0.1111111111111111,2,1,APERION CARE BURBANK,100
Cook,APERION CARE CHICAGO HEIGHTS,2020-11-13,29,1,0.03448275862068965,1,1,APERION CARE CHICAGO HEIGHTS,100
Cook,APERION CARE DOLTON,2020-11-13,29,6,0.20689655172413796,1,1,APERION CARE DOLTON,100
Cook,APERION CARE EVANSTON,2020-11-13,25,2,0.08,1,1,APERION CARE EVANSTON,100
Cook,APERION CARE FOREST PARK,2020-11-13,53,6,0.11320754716981132,2,1,APERION CARE FOREST PARK,100
Cook,APERION CARE INTERNATIONAL OF CHICAGO,2020-11-13,196,27,0.1377551020408163,1,1,APERION CARE INTERNATIONAL,95
Cook,APERION CARE MIDLOTHIAN,2020-11-13,9,0,0.0,2,1,APERION CARE MIDLOTHIAN,100
Cook,APERION CARE OAK LAWN,2020-11-13,103,22,0.21359223300970875,1,1,APERION CARE OAK LAWN,100
Cook,APERION CARE PLUM GROVE,2020-11-13,58,19,0.3275862068965517,1,1,APERION CARE PLUM GROVE,100
Cook,APERION CARE WEST RIDGE,2020-11-13,43,14,0.32558139534883723,2,1,APERION CARE WEST RIDGE,100
Cook,ARBOUR HEALTH CARE CENTER,2020-11-13,60,3,0.05,2,1,ARBOUR HEALTH CARE CENTER,100
Cook,ARDEN COURTS OF ELK GROVE,2020-11-13,31,8,0.25806451612903225,1,1,LANDMARK OF RICHTON PARK REHAB & NSG CTR,86
Cook,ARDEN COURTS OF PALOS HEIGHTS,2020-11-13,55,10,0.18181818181818185,1,1,BRIA OF FOREST EDGE,86
Cook,ARDEN COURTS/MANOR CARE OF SOUTH HOLLAND,2020-11-13,68,8,0.1176470588235294,1,1,ALDEN ESTATES OF EVANSTON,86
Cook,ARTIS SENIOR LIVING OF LAKEVIEW,2020-11-13,19,8,0.42105263157894735,1,1,BRIA OF FOREST EDGE,86
Cook,ASBURY COURT SENIOR LIVING,2020-11-13,9,1,0.1111111111111111,1,1,ASBURY COURT NURSING & REHAB,67
Cook,ASHBURY SENIOR LIVING,2020-11-13,5,0,0.0,1,1,ASBURY COURT NURSING & REHAB,53
Cook,ASPIRE LIVING PROSPECT HEIGHTS,2020-11-13,13,1,0.07692307692307693,1,1,BROOKDALE PROSPECT HEIGHTS,72
Cook,ASTORIA PLACE,2020-11-13,4,0,0.0,1,1,ASTORIA PLACE LIVING & REHAB,90
Cook,ASTORIA PLACE OF CHICAGO,2020-11-13,104,20,0.19230769230769232,1,1,LANDMARK OF RICHTON PARK REHAB & NSG CTR,86
Cook,ATRIA GLENVIEW,2020-11-13,5,0,0.0,1,1,ABINGTON OF GLENVIEW NURSING,86
Cook,ATRIUM HEALTH CARE CENTER,2020-11-13,99,10,0.101010101010101,1,1,ATRIUM HEALTH CARE CENTER,100
Cook,AUSTIN OASIS,2020-11-13,107,16,0.14953271028037382,2,1,"AUSTIN OASIS, THE",95
Cook,AUTUMN GREEN AT MIDWAY VILLAGE,2020-11-13,5,1,0.2,2,1,FRANCISCAN VILLAGE,86
Cook,AUTUMN GREEN AT WRIGHT CAMPUS,2020-11-13,2,0,0.0,1,1,SYMPHONY AT ARIA,86
Cook,AVANTARA EVERGREEN PARK,2020-11-13,98,22,0.22448979591836732,2,1,AVANTARA EVERGREEN PARK,100
Cook,AVANTARA PARK RIDGE,2020-11-13,11,2,0.18181818181818185,2,1,AVANTARA PARK RIDGE,100
Cook,AVANTI NURSING AND REHAB,2020-11-13,6,1,0.16666666666666666,1,1,LANDMARK OF RICHTON PARK REHAB & NSG CTR,86
Cook,AVANTI WELLNESS & REHABILITATION,2020-11-13,110,16,0.14545454545454545,1,1,BURBANK REHABILITATION CENTER,67
Cook,AVENUES TO INDEPENDENCE,2020-11-13,11,0,0.0,1,1,GENERATIONS AT REGENCY,49
Cook,AXELSON ASSISTED LIVING,2020-11-13,7,0,0.0,1,1,ASTORIA PLACE LIVING & REHAB,51
Cook,BALMORAL HOME,2020-11-13,26,0,0.0,1,1,BALMORAL HOME,100
Cook,BARTON SENIOR LIVING,2020-11-13,2,0,0.0,1,1,WARREN PARK HEALTH & LIVING CTR,86
Cook,BEACON CARE CENTER,2020-11-13,86,14,0.16279069767441862,2,1,AMBASSADOR NURSING & REHAB CENTER,86
Cook,BEECHWOOD MANOR,2020-11-13,3,0,0.0,1,1,ALDEN TOWN MANOR REHAB & HCC,86
Cook,BELLA TERRA MORTON GROVE,2020-11-13,74,11,0.14864864864864866,1,1,BELLA TERRA MORTON GROVE,100
Cook,BELLA TERRA STREAMWOOD,2020-11-13,23,3,0.13043478260869565,1,1,BELLA TERRA STREAMWOOD,100
Cook,BELLA TERRA WHEELING,2020-11-13,88,19,0.2159090909090909,1,1,BELLA TERRA WHEELING,100
Cook,BELLHAVEN NURSING AND REHABILITATION,2020-11-13,101,9,0.0891089108910891,1,1,BRANDEL HEALTH AND REHAB,86
Cook,BELLWOOD DEVELOPMENT CENTER,2020-11-13,2,0,0.0,1,1,PRESENCE SAINTS MARY & ELIZABETH MEDICAL CENTER,86
Cook,BELLWOOD DEVELOPMENTAL CENTER,2020-11-13,3,0,0.0,1,1,PRESENCE SAINTS MARY & ELIZABETH MEDICAL CENTER,86
Cook,BELMONT OAK PARK,2020-11-13,6,2,0.3333333333333333,1,1,ALDEN ESTATES OF ORLAND PARK,86
Cook,BELMONT VILLAGE,2020-11-13,20,0,0.0,1,1,CENTRAL BAPTIST VILLAGE,86
Cook,BELMONT VILLAGE SENIOR LIVING OF GLENVIEW,2020-11-13,27,5,0.1851851851851852,1,1,ALDEN ESTATES OF BARRINGTON,86
Cook,BERKELEY NURSING AND REHABILITATION CENTER,2020-11-13,34,4,0.1176470588235294,2,1,ABINGTON OF GLENVIEW NURSING,86
Cook,BETHANE PLACE,2020-11-13,2,0,0.0,1,1,ASTORIA PLACE LIVING & REHAB,86
Cook,BETHESDA REHAB AND SENIOR CARE,2020-11-13,50,6,0.12,2,1,BETHESDA REHAB & SENIOR CARE,95
Cook,BICKFORD OF TINLEY PARK,2020-11-13,4,0,0.0,1,1,LANDMARK OF RICHTON PARK REHAB & NSG CTR,86
Cook,BIRCHWOOD PLAZA,2020-11-13,4,0,0.0,1,1,BIRCHWOOD PLAZA,100
Cook,BIRCHWOOD PLAZA NURSING-REHAB,2020-11-13,85,15,0.17647058823529413,1,1,BIRCHWOOD PLAZA,90
Cook,BRANDEL CARE CENTER,2020-11-13,10,0,0.0,1,1,AMBASSADOR NURSING & REHAB CENTER,86
Cook,BRIA FOREST EDGE,2020-11-13,156,2,0.01282051282051282,1,1,BRIA OF FOREST EDGE,95
Cook,BRIA OF CHICAGO HEIGHTS,2020-11-13,41,1,0.024390243902439025,1,1,BRIA OF CHICAGO HEIGHTS,100
Cook,BRIA OF PALOS HILLS,2020-11-13,102,18,0.17647058823529413,1,1,BRIA OF PALOS HILLS,100
Cook,BRIA PLACE,2020-11-13,5,0,0.0,1,1,ASTORIA PLACE LIVING & REHAB,86
Cook,BRIA PLACE OF INDIAN HEAD PARK,2020-11-13,32,7,0.21875,1,1,AVANTARA PARK RIDGE,86
Cook,BRIA RIVER OAKS,2020-11-13,158,2,0.012658227848101266,1,1,BRIA OF RIVER OAKS,95
Cook,BRIDGEVIEW HC,2020-11-13,66,15,0.2272727272727273,1,1,ALDEN DES PLAINES REHAB & HC,86
Cook,BRIDGEVIEW HEALTH CARE CENTER,2020-11-13,12,2,0.16666666666666666,1,1,BRIDGEVIEW HEALTH CARE CENTER,100
Cook,BROOKDALE - LAKE SHORE,2020-11-13,12,0,0.0,1,1,BROOKDALE PROSPECT HEIGHTS,59
Cook,BROOKDALE ASSISTED LIVING,2020-11-13,5,1,0.2,1,1,BROOKDALE PROSPECT HEIGHTS,59
Cook,BROOKDALE DES PLAINES,2020-11-13,20,7,0.35,1,1,ALDEN DES PLAINES REHAB & HC,66
Cook,BROOKDALE HOFFMAN ESTATES,2020-11-13,14,0,0.0,2,1,BROOKDALE PROSPECT HEIGHTS,59
Cook,BROOKDALE NORTHBROOK,2020-11-13,5,3,0.6,1,1,"GROVE OF NORTHBROOK,THE",66
Cook,BROOKDALE ORLAND PARK,2020-11-13,15,6,0.4,1,1,LANDMARK OF RICHTON PARK REHAB & NSG CTR,86
Cook,BROOKDALE PROSPECT HEIGHTS,2020-11-13,11,1,0.09090909090909093,2,1,BROOKDALE PROSPECT HEIGHTS,100
Cook,BUCKINGHAM PAVILION,2020-11-13,78,13,0.16666666666666666,2,1,BUCKINGHAM PAVILION,100
Cook,BURBANK REHAB - VERA CARE STICKNEY,2020-11-13,38,11,0.2894736842105263,1,1,APERION CARE BURBANK,86
Cook,BURBANK REHABILITATION,2020-11-13,3,0,0.0,1,1,BURBANK REHABILITATION CENTER,95
Cook,CALEDONIA SENIOR LIVING & MEMORY CARE,2020-11-13,10,0,0.0,1,1,APERION CARE BURBANK,86
Cook,CALIFORNIA GARDENS,2020-11-13,2,0,0.0,1,1,CALIFORNIA GARDENS N & REHAB C,90
Cook,CALIFORNIA GARDENS NURSING AND REHABILITATION CENT,2020-11-13,157,6,0.03821656050955414,1,1,ABINGTON OF GLENVIEW NURSING,86
Cook,CALUMET CITY TERRACE,2020-11-13,3,0,0.0,1,1,CRESTWOOD TERRACE,59
Cook,CARLTON AT THE LAKE,2020-11-13,112,20,0.17857142857142858,2,1,"CARLTON AT THE LAKE, THE",95
Cook,CENTER HOME FOR HISPANIC ELDERLY,2020-11-13,120,30,0.25,1,1,CENTER HOME HISPANIC ELDERLY,95
Cook,CENTRAL BAPTIST VILLAGE,2020-11-13,16,1,0.0625,2,1,CENTRAL BAPTIST VILLAGE,100
Cook,CENTRAL NURSING HOME,2020-11-13,102,17,0.16666666666666666,2,1,CENTRAL NURSING HOME,100
Cook,CENTRAL PLAZA,2020-11-13,74,1,0.013513513513513514,1,1,CENTRAL BAPTIST VILLAGE,86
Cook,CHALET LIVING AND REHAB,2020-11-13,5,0,0.0,1,1,CHALET LIVING & REHAB,95
Cook,CHALET LIVING AND REHAB CENTER,2020-11-13,97,14,0.14432989690721648,1,1,CHALET LIVING & REHAB,95
Cook,CHICAGO RIDGE NURSING AND REHAB,2020-11-13,71,17,0.23943661971830985,1,1,AVANTARA PARK RIDGE,86
Cook,CITADEL OF NORTHBROOK,2020-11-13,64,2,0.03125,1,1,"CITADEL OF NORTHBROOK, THE",95
Cook,CITADEL OF SKOKIE,2020-11-13,23,4,0.17391304347826084,2,1,"CITADEL OF SKOKIE, THE",95
Cook,CITADEL OF SKOKIE (3),2020-11-13,4,0,0.0,1,1,"CITADEL OF SKOKIE, THE",90
Cook,CITADEL OF WARREN PARK,2020-11-13,31,5,0.16129032258064516,2,1,LANDMARK OF RICHTON PARK REHAB & NSG CTR,86
Cook,CITADEL OF WATERFORD,2020-11-13,70,13,0.18571428571428567,3,1,ASSISI HEALTHCARE OF CLARE OAKS,86
Cook,CITADEL OF WILMETTE,2020-11-13,19,5,0.2631578947368421,1,1,ASSISI HEALTHCARE OF CLARE OAKS,86
Cook,CITY VIEW MULTI CARE CENTER,2020-11-13,249,15,0.060240963855421686,1,1,CITY VIEW MULTICARE CENTER,98
Cook,CLARK MANOR,2020-11-13,124,15,0.12096774193548387,1,1,CLARK MANOR,100
Cook,CLEAR OAKS SENIOR LIVING,2020-11-13,3,0,0.0,1,1,ELEVATE ST ANDREW LIVING COMM,57
Cook,CLEARBROOK CENTER,2020-11-13,44,7,0.1590909090909091,1,1,AMBASSADOR NURSING & REHAB CENTER,86
Cook,CLEARBROOK WEST,2020-11-13,3,0,0.0,1,1,APERION CARE WEST RIDGE,86
Cook,COMMUNITY CARE NURSING HOME,2020-11-13,81,9,0.1111111111111111,1,1,BALMORAL HOME,86
Cook,CONCORD PLACE,2020-11-13,2,0,0.0,1,1,ASTORIA PLACE LIVING & REHAB,86
Cook,CONTINENTAL NURSING #2,2020-11-13,5,0,0.0,1,1,AMBASSADOR NURSING & REHAB CENTER,86
Cook,CONTINENTAL NURSING AND REHABILITATION CENTER,2020-11-13,78,12,0.15384615384615385,1,1,ABINGTON OF GLENVIEW NURSING,86
Cook,COUNTRY CLUB TERRACE,2020-11-13,10,0,0.0,1,1,COMMUNITY CARE CENTER,59
Cook,COUNTRYSIDE NURSING AND REHAB CENTER,2020-11-13,70,11,0.15714285714285714,1,1,COUNTRYSIDE NURSING & REHAB CTR,90
Cook,COVENANT ENABLING RESIDENCE,2020-11-13,6,0,0.0,1,1,CONTINENTAL NURSING & REHAB CENTER,56
Cook,COVENANT HOME OF CHICAGO,2020-11-13,12,0,0.0,2,1,BALMORAL HOME,86
Cook,CRESTWOOD TERRACE,2020-11-13,3,0,0.0,1,1,CRESTWOOD TERRACE,100
Cook,"DAVID WEBB, JR. SENIOR LIVING COMPLEX",2020-11-13,3,2,0.6666666666666666,1,1,CHALET LIVING & REHAB,86
Cook,DD HOMES,2020-11-13,2,0,0.0,1,1,ALL AMERICAN NURSING HOME,60
Cook,DOBSON PLAZA,2020-11-13,77,21,0.2727272727272727,1,1,DOBSON PLAZA,100
Cook,EDEN SUPPORTIVE LIVING,2020-11-13,2,0,0.0,1,1,CHALET LIVING & REHAB,51
Cook,EDWARD HINES VA COMMUNITY LIVING CENTER,2020-11-13,23,3,0.13043478260869565,1,1,ARBOUR HEALTH CARE CENTER,86
Cook,EL VALOR,2020-11-13,5,0,0.0,1,1,LEE MANOR,59
Cook,ELEVATE CARE CHICAGO NORTH,2020-11-13,184,34,0.18478260869565216,2,1,ELEVATE CARE CHICAGO NORTH,100
Cook,ELEVATE CARE IRVING PARK,2020-11-13,79,13,0.16455696202531644,2,1,ELEVATE CARE IRVING PARK,100
Cook,ELEVATE CARE NILES,2020-11-13,19,5,0.2631578947368421,1,1,ELEVATE CARE NILES,100
