STATE_ReportingDate,CMS_Provider State,STATE_County,CMS_Provider City,STATE_FacilityName,STATE_CMS_ProvNum,STATE_confirmed_cases,STATE_deaths,STATE_MatchingDate,CMS_Week Ending,CMS_Federal Provider Number
2020-06-05,,Cook,,Barton Senior Living,No Match,2,0,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Beacon Care Center,145776,78,14,2020-06-07,2020-06-07,145776
2020-06-05,IL,Cook,MORTON GROVE,Bella Terra Morton Grove,145198,52,7,2020-06-07,2020-06-07,145198
2020-06-05,IL,Cook,STREAMWOOD,Bella Terra Streamwood,145701,6,1,2020-06-07,2020-06-07,145701
2020-06-05,IL,Cook,WHEELING,Bella Terra Wheeling,145835,20,3,2020-06-07,2020-06-07,145835
2020-06-05,IL,Cook,CHICAGO,Bellhaven Nursing and Rehabilitation,145549,87,8,2020-06-07,2020-06-07,145549
2020-06-05,,Cook,,Belmont Oak Park,No Match,6,1,2020-06-07,,
2020-06-05,,Cook,,Belmont Village Senior Living of Glenview,No Match,20,4,2020-06-07,,
2020-06-05,IL,Cook,OAK PARK,Berkeley Nursing and Rehabilitation Center,146013,4,2,2020-06-07,2020-06-07,146013
2020-06-05,IL,Cook,CHICAGO,Bethesda Rehab and Senior Care,145844,29,3,2020-06-07,2020-06-07,145844
2020-06-05,,Cook,,Bickford of Tinley Park,No Match,2,0,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Birchwood Plaza Nursing-Rehab,145532,29,4,2020-06-07,2020-06-07,145532
2020-06-05,IL,Cook,CHICAGO,Bria Forest Edge,145864,135,2,2020-06-07,2020-06-07,145864
2020-06-05,IL,Cook,INDIAN HEAD PARK,Bria Place of Indian Head Park,145784,30,6,2020-06-07,2020-06-07,145784
2020-06-05,IL,Cook,BURNHAM,Bria River Oaks,145735,85,2,2020-06-07,2020-06-07,145735
2020-06-05,IL,Cook,PALOS HILLS,Bria of Palos Hills,145650,81,11,2020-06-07,2020-06-07,145650
2020-06-05,IL,Cook,BRIDGEVIEW,Bridgeview HC,145208,38,15,2020-06-07,2020-06-07,145208
2020-06-05,,Cook,,Brookdale - Lake Shore,No Match,8,0,2020-06-07,,
2020-06-05,,Cook,,Brookdale Assisted living,No Match,5,1,2020-06-07,,
2020-06-05,,Cook,,Brookdale Des Plaines,No Match,19,5,2020-06-07,,
2020-06-05,,Cook,,Brookdale Northbrook ,No Match,3,3,2020-06-07,,
2020-06-05,,Cook,,Brookdale Orland Park,No Match,13,6,2020-06-07,,
2020-06-05,IL,Cook,PROSPECT HEIGHTS,Brookdale Prospect Heights,145852,5,0,2020-06-07,2020-06-07,145852
2020-06-05,,Cook,,Brookdale Senior Living of Chicago,No Match,4,0,2020-06-07,,
2020-06-05,,Cook,,Bryn Mawr Care,No Match,13,0,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Buckingham Pavilion,145285,69,11,2020-06-07,2020-06-07,145285
2020-06-05,IL,Cook,BURBANK,Burbank Rehab - Vera Care Stickney,145211,29,9,2020-06-07,2020-06-07,145211
2020-06-05,IL,Cook,CHICAGO,California Gardens Nursing and Rehabilitation Cent,145625,157,5,2020-06-07,2020-06-07,145625
2020-06-05,IL,Cook,CHICAGO,Carlton at the Lake,145679,116,17,2020-06-07,2020-06-07,145679
2020-06-05,IL,Cook,CHICAGO,Center Home for Hispanic Elderly,146062,84,30,2020-06-07,2020-06-07,146062
2020-06-05,IL,Cook,NORRIDGE,Central Baptist Village,145853,7,0,2020-06-07,2020-06-07,145853
2020-06-05,IL,Cook,CHICAGO,Central Nursing Home,145648,85,17,2020-06-07,2020-06-07,145648
2020-06-05,IL,Cook,CHICAGO,Chalet Living And Rehab Center,145670,84,10,2020-06-07,2020-06-07,145670
2020-06-05,IL,Cook,CHICAGO RIDGE,Chicago Ridge Nursing and Rehab,145639,51,16,2020-06-07,2020-06-07,145639
2020-06-05,IL,Cook,NORTHBROOK,Citadel of Northbrook,145982,13,2,2020-06-07,2020-06-07,145982
2020-06-05,IL,Cook,SKOKIE,Citadel of Skokie,145468,3,0,2020-06-07,2020-06-07,145468
2020-06-05,,Cook,,Citadel of Warren Park,No Match,21,4,2020-06-07,,
2020-06-05,,Cook,,Citadel of Waterford,No Match,64,12,2020-06-07,,
2020-06-05,IL,Cook,WILMETTE,Citadel of Wilmette,145932,11,3,2020-06-07,2020-06-07,145932
2020-06-05,IL,Cook,CICERO,City View Multi Care Center,145850,244,14,2020-06-07,2020-06-07,145850
2020-06-05,IL,Cook,CHICAGO,Clark Manor,145507,97,12,2020-06-07,2020-06-07,145507
2020-06-05,IL,Cook,CHICAGO,Community Care Nursing Home,146164,83,6,2020-06-07,2020-06-07,146164
2020-06-05,IL,Cook,CHICAGO,Continental Nursing and Rehabilitation Center,145730,39,11,2020-06-07,2020-06-07,145730
2020-06-05,,Cook,,Country Club Terrace,No Match,8,0,2020-06-07,,
2020-06-05,IL,Cook,DOLTON,Countryside Nursing and Rehab Center,145798,22,2,2020-06-07,2020-06-07,145798
2020-06-05,,Cook,,Covenant Enabling Residence,No Match,5,0,2020-06-07,,
2020-06-05,,Cook,,Covenant Home of Chicago,No Match,2,0,2020-06-07,,
2020-06-05,,Cook,,"David Webb, Jr. Senior Living Complex",No Match,3,2,2020-06-07,,
2020-06-05,IL,Cook,EVANSTON,Dobson Plaza,145122,63,16,2020-06-07,2020-06-07,145122
2020-06-05,,Cook,,Edward Hines VA Community Living Center,No Match,5,0,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Elevate Care Chicago North,145484,173,32,2020-06-07,2020-06-07,145484
2020-06-05,IL,Cook,CHICAGO,Elevate Care Irving Park,145415,66,12,2020-06-07,2020-06-07,145415
2020-06-05,IL,Cook,NILES,Elevate Care Niles,145662,7,3,2020-06-07,2020-06-07,145662
2020-06-05,IL,Cook,NORTHBROOK,Elevate Care Northbrook,145171,65,11,2020-06-07,2020-06-07,145171
2020-06-05,,Cook,,Elevate Care South Holland,No Match,17,5,2020-06-07,,
2020-06-05,IL,Cook,NILES,Elevate Saint Andrew,146176,22,8,2020-06-07,2020-06-07,146176
2020-06-05,,Cook,,Emerald Place Memory Care,No Match,9,2,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Estates of Hyde Park,145828,38,11,2020-06-07,2020-06-07,145828
2020-06-05,,Cook,,Evergreen Senior Living,No Match,14,7,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Fairmont Care,145867,135,27,2020-06-07,2020-06-07,145867
2020-06-05,IL,Cook,CHICAGO,Foster Health & Rehab,146167,31,7,2020-06-07,2020-06-07,146167
2020-06-05,IL,Cook,LEMONT,Franciscan Village,146029,4,1,2020-06-07,2020-06-07,146029
2020-06-05,IL,Cook,SCHAUMBURG,Friendship Village LTC,145341,12,5,2020-06-07,2020-06-07,145341
2020-06-05,IL,Cook,DES PLAINES,Generations At Oakton,145626,34,11,2020-06-07,2020-06-07,145626
2020-06-05,IL,Cook,MATTESON,Generations at Applewood,145781,71,17,2020-06-07,2020-06-07,145781
2020-06-05,IL,Cook,ELMWOOD PARK,Generations at Elmwood Park,145419,87,17,2020-06-07,2020-06-07,145419
2020-06-05,IL,Cook,NILES,Generations at Regency,145237,104,27,2020-06-07,2020-06-07,145237
2020-06-05,IL,Cook,GLENVIEW,Glenview Terrace,145268,110,31,2020-06-07,2020-06-07,145268
2020-06-05,,Cook,,Glenwood Health Care & Rehab,No Match,78,3,2020-06-07,,
2020-06-05,,Cook,,Golfview Developmental Center,No Match,107,11,2020-06-07,,
2020-06-05,,Cook,,Good Shepherd Manor,No Match,3,1,2020-06-07,,
2020-06-05,,Cook,,Grace Point Place Memory Care,No Match,24,7,2020-06-07,,
2020-06-05,IL,Cook,WHEELING,Greek American Rehab & Care,146031,11,1,2020-06-07,2020-06-07,146031
2020-06-05,,Cook,,Greenwood Care-Evanston,No Match,14,1,2020-06-07,,
2020-06-05,IL,Cook,NILES,Grosse Pointe Manor,145999,39,8,2020-06-07,2020-06-07,145999
2020-06-05,,Cook,,Harbor House Memory Care,No Match,29,6,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Harmony Healthcare and Rehab,145775,127,25,2020-06-07,2020-06-07,145775
2020-06-05,,Cook,,Heather Manor Nursing & Rehabilitation Center,No Match,8,1,2020-06-07,,
2020-06-05,,Cook,,Helping Hands Center Countryside,No Match,2,0,2020-06-07,,
2020-06-05,,Cook,,Heritage Woods,No Match,5,0,2020-06-07,,
2020-06-05,,Cook,,Hickory Nursing Pavilion,No Match,3,0,2020-06-07,,
2020-06-05,IL,Cook,PALOS PARK,Holy Family Villa,146053,8,3,2020-06-07,2020-06-07,146053
2020-06-05,IL,Cook,INVERNESS,Inverness Health and Rehab,145994,10,0,2020-06-07,2020-06-07,145994
2020-06-05,,Cook,,Jackson Park Assisted living,No Match,2,0,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Kensington Place Nursing And Rehabilitation Center,145829,15,2,2020-06-07,2020-06-07,145829
2020-06-05,IL,Cook,NORTHBROOK,Lake Cook Rehab & Healthcare(formerly Rosewood),145971,33,10,2020-06-07,2020-06-07,145971
2020-06-05,IL,Cook,CHICAGO,Lakefront Nursing,145235,13,0,2020-06-07,2020-06-07,145235
2020-06-05,IL,Cook,CHICAGO,Lakeview Nursing and Rehab,145654,67,21,2020-06-07,2020-06-07,145654
2020-06-05,IL,Cook,DES PLAINES,Landmark of Des Plaines,145334,87,20,2020-06-07,2020-06-07,145334
2020-06-05,IL,Cook,RICHTON PARK,Landmark of Richton Park,145424,42,6,2020-06-07,2020-06-07,145424
2020-06-05,IL,Cook,DES PLAINES,Lee Manor Rehab and Nursing,145382,59,7,2020-06-07,2020-06-07,145382
2020-06-05,IL,Cook,LEMONT,Lemont Center,145901,12,6,2020-06-07,2020-06-07,145901
2020-06-05,IL,Cook,ORLAND PARK,Lexington Health Care Orland Park,145899,50,12,2020-06-07,2020-06-07,145899
2020-06-05,IL,Cook,LA GRANGE,Lexington Healthcare of La Grange,145737,7,2,2020-06-07,2020-06-07,145737
2020-06-05,IL,Cook,SCHAUMBURG,Lexington healthcare of Schaumburg,145678,4,1,2020-06-07,2020-06-07,145678
2020-06-05,IL,Cook,CHICAGO RIDGE,Lexington of Chicago Ridge,145700,23,12,2020-06-07,2020-06-07,145700
2020-06-05,IL,Cook,SKOKIE,Lieberman Geriatric Center,145931,29,4,2020-06-07,2020-06-07,145931
2020-06-05,IL,Cook,LINCOLNWOOD,Lincolnwood Place,145786,32,14,2020-06-07,2020-06-07,145786
2020-06-05,IL,Cook,CHICAGO,Little Sisters of the Poor/St. Marys Home,146185,60,11,2020-06-07,2020-06-07,146185
2020-06-05,IL,Cook,CHICAGO,Little Village Nursing Home,146018,37,5,2020-06-07,2020-06-07,146018
2020-06-05,,Cook,,Ludeman Developmental Center,No Match,316,10,2020-06-07,,
2020-06-05,,Cook,,Lydia Health Care Center,No Match,23,3,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,MADO Healthcare Uptown,146191,64,7,2020-06-07,2020-06-07,146191
2020-06-05,IL,Cook,BERWYN,MacNeal Memorial Hospital Rehab/LTC,145848,2,0,2020-06-07,2020-06-07,145848
2020-06-05,,Cook,,Madden Mental Health Center,No Match,13,0,2020-06-07,,
2020-06-05,IL,Cook,HOMEWOOD,Manor Care Health Services-Homewood,145684,49,14,2020-06-07,2020-06-07,145684
2020-06-05,,Cook,,Manor Care Oak Lawn EAST. Cook,No Match,33,10,2020-06-07,,
2020-06-05,IL,Cook,ARLINGTON HTS,Manor Care at Arlington Heights,145199,21,2,2020-06-07,2020-06-07,145199
2020-06-05,IL,Cook,ELK GROVE VILLAGE,ManorCare ElkGrove Village,145689,91,15,2020-06-07,2020-06-07,145689
2020-06-05,IL,Cook,PALOS HEIGHTS,ManorCare Health Services-Palos Heights West,145893,53,14,2020-06-07,2020-06-07,145893
2020-06-05,IL,Cook,OAK LAWN,ManorCare Oak Lawn West,145087,52,11,2020-06-07,2020-06-07,145087
2020-06-05,IL,Cook,PALOS HEIGHTS,ManorCare Palos Heights East,145607,54,6,2020-06-07,2020-06-07,145607
2020-06-05,,Cook,,Margaret Manor Central,No Match,12,1,2020-06-07,,
2020-06-05,,Cook,,Marklund Wasmond Center,No Match,2,0,2020-06-07,,
2020-06-05,,Cook,,Mather Place,No Match,8,2,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Mayfield Care Center,145885,154,21,2020-06-07,2020-06-07,145885
2020-06-05,IL,Cook,BOLINGBROOK,Meadowbrook Manor,145710,55,13,2020-06-07,2020-06-07,145710
2020-06-05,IL,Cook,CHICAGO,Mercy Circle,146174,8,0,2020-06-07,2020-06-07,146174
2020-06-05,IL,Cook,BRIDGEVIEW,Midway Neuro and Rehab,145778,118,10,2020-06-07,2020-06-07,145778
2020-06-05,IL,Cook,CHICAGO,Montgomery Place,145748,31,3,2020-06-07,2020-06-07,145748
2020-06-05,IL,Cook,CHICAGO,Mosaic of Lakeshore,145244,123,26,2020-06-07,2020-06-07,145244
2020-06-05,,Cook,,New City Supportive Living,No Match,2,0,2020-06-07,,
2020-06-05,IL,Cook,NILES,Niles Nursing and Rehab Center,145696,170,38,2020-06-07,2020-06-07,145696
2020-06-05,IL,Cook,NORRIDGE,Norridge Gardens,145329,68,35,2020-06-07,2020-06-07,145329
2020-06-05,,Cook,,North Shore Place,No Match,9,0,2020-06-07,,
2020-06-05,,Cook,,Northbrook Inn Memory Care,No Match,15,5,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Norwood crossing Skilled Nursing,145974,32,3,2020-06-07,2020-06-07,145974
2020-06-05,IL,Cook,OAK LAWN,Oak Lawn Respiratory and Rehab,145942,2,0,2020-06-07,2020-06-07,145942
2020-06-05,,Cook,,Oak Park Arms,No Match,9,1,2020-06-07,,
2020-06-05,,Cook,,Oak Park Brookdale,No Match,14,1,2020-06-07,,
2020-06-05,IL,Cook,OAK PARK,Oak Park Oasis,145714,25,10,2020-06-07,2020-06-07,145714
2020-06-05,IL,Cook,CRESTWOOD,Palos Heights Nursing and Rehab,145681,41,3,2020-06-07,2020-06-07,145681
2020-06-05,IL,Cook,CHICAGO,Park View Rehab,145765,47,10,2020-06-07,2020-06-07,145765
2020-06-05,IL,Cook,CHICAGO,Parkshore Estates,145938,21,1,2020-06-07,2020-06-07,145938
2020-06-05,,Cook,,Pauls House,No Match,48,5,2020-06-07,,
2020-06-05,IL,Cook,ROLLING MEADOWS,Pearl of Rolling Meadows,145350,3,0,2020-06-07,2020-06-07,145350
2020-06-05,IL,Cook,STICKNEY,Pershing Garden,146078,13,4,2020-06-07,2020-06-07,146078
2020-06-05,IL,Cook,CHICAGO,Peterson Park Health Care,145838,208,32,2020-06-07,2020-06-07,145838
2020-06-05,IL,Cook,HAZEL CREST,Pine Crest Healthcare,145220,4,1,2020-06-07,2020-06-07,145220
2020-06-05,IL,Cook,LA GRANGE PARK,Plymouth Place Senior Living,146128,54,8,2020-06-07,2020-06-07,146128
2020-06-05,IL,Cook,SOUTH HOLLAND,Praire Oasis South Holland,145927,41,12,2020-06-07,2020-06-07,145927
2020-06-05,,Cook,,Prairie Green at Dixie Crossing,No Match,16,5,2020-06-07,,
2020-06-05,,Cook,,Prairie Green at Fays Point,No Match,11,2,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO HEIGHTS,Prairie Manor Rehab and Nursing,145629,23,10,2020-06-07,2020-06-07,145629
2020-06-05,IL,Cook,GLENVIEW,Presence MaryHaven,145741,13,4,2020-06-07,2020-06-07,145741
2020-06-05,IL,Cook,DES PLAINES,Presence Nazarethville,146180,13,4,2020-06-07,2020-06-07,146180
2020-06-05,IL,Cook,CHICAGO,Presence Resurrection Life Center,145960,8,1,2020-06-07,2020-06-07,145960
2020-06-05,IL,Cook,NILES,Presence St. Benedict,145731,8,0,2020-06-07,2020-06-07,145731
2020-06-05,IL,Cook,NORTHLAKE,Presence Villa Scalabrini Nursing&Rehab Center,145956,34,5,2020-06-07,2020-06-07,145956
2020-06-05,,Cook,,Progressive Housing,No Match,3,2,2020-06-07,,
2020-06-05,,Cook,,Resurrection Nursing & rehab Center,No Match,47,6,2020-06-07,,
2020-06-05,,Cook,,Revere Court of South Barrington,No Match,8,2,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Selfhelp Home,146009,38,3,2020-06-07,2020-06-07,146009
2020-06-05,IL,Cook,CHICAGO,Sheridan Village,145482,44,15,2020-06-07,2020-06-07,145482
2020-06-05,,Cook,,Skokie Meadows,No Match,5,0,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Smith Village,145904,67,13,2020-06-07,2020-06-07,145904
2020-06-05,IL,Cook,HOMEWOOD,South Suburban Rehab Center,146132,42,16,2020-06-07,2020-06-07,146132
2020-06-05,IL,Cook,CHICAGO,Southpoint Nsg and Rehab,145914,49,4,2020-06-07,2020-06-07,145914
2020-06-05,IL,Cook,CHICAGO,Southview Manor,146161,23,2,2020-06-07,2020-06-07,146161
2020-06-05,,Cook,,St Joseph Home For the Elderly,No Match,2,0,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,St. Joseph Village of Chicago,145637,3,0,2020-06-07,2020-06-07,145637
2020-06-05,,Cook,,St. Mary of Providence in Chicago,No Match,4,0,2020-06-07,,
2020-06-05,,Cook,,Summit of Uptown,No Match,32,15,2020-06-07,,
2020-06-05,,Cook,,Sunrise Palos Park,No Match,3,1,2020-06-07,,
2020-06-05,,Cook,,Sunrise of Flossmore,No Match,11,6,2020-06-07,,
2020-06-05,,Cook,,Sunrise of Lincoln Park,No Match,2,0,2020-06-07,,
2020-06-05,,Cook,,Sunrise of Park Ridge,No Match,45,10,2020-06-07,,
2020-06-05,,Cook,,Sunrise of Schaumburg,No Match,10,2,2020-06-07,,
2020-06-05,,Cook,,Symphony Residences at Lincoln Park,No Match,6,0,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Symphony at 87th,145983,117,16,2020-06-07,2020-06-07,145983
2020-06-05,IL,Cook,HILLSIDE,Symphony at Aria,145946,22,3,2020-06-07,2020-06-07,145946
2020-06-05,IL,Cook,CHICAGO,Symphony at Midway,145995,213,21,2020-06-07,2020-06-07,145995
2020-06-05,IL,Cook,CHICAGO,Symphony of Bronzeville,145337,56,15,2020-06-07,2020-06-07,145337
2020-06-05,IL,Cook,CHICAGO,Symphony of Chicago West,145661,46,7,2020-06-07,2020-06-07,145661
2020-06-05,IL,Cook,CRESTWOOD,Symphony of Crestwood,145718,32,2,2020-06-07,2020-06-07,145718
2020-06-05,IL,Cook,EVANSTON,Symphony of Evanston,145803,15,1,2020-06-07,2020-06-07,145803
2020-06-05,IL,Cook,HANOVER PARK,Symphony of Hanover Park,146143,17,1,2020-06-07,2020-06-07,146143
2020-06-05,IL,Cook,CHICAGO,Symphony of Lincoln Park,145510,179,25,2020-06-07,2020-06-07,145510
2020-06-05,IL,Cook,CHICAGO,Symphony of Morgan Park,145764,194,22,2020-06-07,2020-06-07,145764
2020-06-05,IL,Cook,CHICAGO,Symphony of South Shore,145977,185,24,2020-06-07,2020-06-07,145977
2020-06-05,IL,Cook,CHICAGO,The Admiral at the Lake,146165,39,6,2020-06-07,2020-06-07,146165
2020-06-05,,Cook,,The Auberge at Morton Grove,No Match,41,0,2020-06-07,,
2020-06-05,,Cook,,The Carrington Linclonwood,No Match,26,4,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,The Clare,146141,18,0,2020-06-07,2020-06-07,146141
2020-06-05,IL,Cook,BERWYN,The Grove of Berwyn,145070,43,14,2020-06-07,2020-06-07,145070
2020-06-05,IL,Cook,EVANSTON,The Grove of Evanston,145011,55,12,2020-06-07,2020-06-07,145011
2020-06-05,IL,Cook,LA GRANGE PARK,The Grove of La Grange,145307,4,1,2020-06-07,2020-06-07,145307
2020-06-05,IL,Cook,SKOKIE,The Grove of Skokie,145860,26,4,2020-06-07,2020-06-07,145860
2020-06-05,,Cook,,The Hartwell,No Match,14,0,2020-06-07,,
2020-06-05,IL,Cook,EVANSTON,The Mather Evanston,146145,4,0,2020-06-07,2020-06-07,146145
2020-06-05,,Cook,,The Pointe of Kilpatrick ,No Match,22,1,2020-06-07,,
2020-06-05,,Cook,,The Reserve at Arlington Heights,No Match,3,1,2020-06-07,,
2020-06-05,,Cook,,The Sheridan of Park Ridge,No Match,9,3,2020-06-07,,
2020-06-05,,Cook,,The Vine At Countryside,No Match,17,2,2020-06-07,,
2020-06-05,,Cook,,Thornton Heights Terrace,No Match,2,0,2020-06-07,,
2020-06-05,,Cook,,Three Crown Park ,No Match,39,6,2020-06-07,,
2020-06-05,IL,Cook,LANSING,Tri-States Nursing & rehab Center,145879,13,1,2020-06-07,2020-06-07,145879
2020-06-05,IL,Cook,CHICAGO,Uptown Health Center,145881,122,16,2020-06-07,2020-06-07,145881
2020-06-05,IL,Cook,GLENVIEW,Vi at the Glen,146107,12,0,2020-06-07,2020-06-07,146107
2020-06-05,,Cook,,Victory Center of Bartlett,No Match,3,0,2020-06-07,,
2020-06-05,,Cook,,Victory Centre of Riverwoods,No Match,8,0,2020-06-07,,
