Facility Name,Facility Name Normalized,Unnamed: 2,Changes,VLOOKUP,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives.1,Resident Probable Positives.1,Resident Deaths.1,Resident Probable Deaths.1,Staff Positive.1,Staff Probable Positives.1,Staff Deaths.1,Staff Probable Deaths.1,Resident/Staff Positives.1,Resident/Staff Probable Positives.1,Resident/Staff Deaths.1,Resident/Staff Probable Deaths.1,Residents Tested,Staff Tested,Personal Protective Equipment,VLOOKUP2,Change Score
St. Margarets Living Center,ST. MARGARETS LIVING CENTER,OK,,,20201105,IL,BUREAU,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE PRINCETON,45
Allure of Mount Carroll,ALLURE OF MOUNT CARROLL,OK,,ALLURE OF MOUNT CARROLL,20201105,IL,CARROLL,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLURE OF MOUNT CARROLL,100
Big Meadows Nursing Home,BIG MEADOWS NURSING HOME,OK,,BIG MEADOWS NURSING HOME,20201105,IL,CARROLL,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIG MEADOWS NURSING HOME,100
Heritage Health,HERITAGE HEALTH,Dup,,,20201105,IL,CASS,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE HEALTH-BEARDSTOWN,90
Walker Nursing Home,WALKER NURSING HOME,OK,,WALKER NURSING HOME,20201105,IL,CASS,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WALKER NURSING HOME,100
Bickford Senior Living,BICKFORD SENIOR LIVING,OK,,,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLARK-LINDSEY VILLAGE,42
Brookdale Urbana,BROOKDALE URBANA,OK,,,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHAMPAIGN URBANA NURSING AND REHABILITATION,86
Champaign Urbana Nursing and Rehab,CHAMPAIGN URBANA NURSING AND REHABILITATION,Dup,,CHAMPAIGN URBANA NURSING AND REHABILITATION,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHAMPAIGN URBANA NURSING AND REHABILITATION,100
Champaign-Urbana Nursing and Rehab,CHAMPAIGN URBANA NURSING AND REHABILITATION,OK,,CHAMPAIGN URBANA NURSING AND REHABILITATION,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHAMPAIGN URBANA NURSING AND REHABILITATION,100
Country Health and Rehab,COUNTRY HEALTH AND REHABILITATION,OK,,COUNTRY HEALTH AND REHABILITATION,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUNTRY HEALTH AND REHABILITATION,100
Country Health and Rehab,COUNTRY HEALTH AND REHABILITATION,Dup,,COUNTRY HEALTH AND REHABILITATION,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUNTRY HEALTH AND REHABILITATION,100
Evergreen Place,EVERGREEN PLACE,OK,,,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY REHABILITATION CENTER,38
Green House Homes at Clark-Lindsey,GREEN HOUSE HOMES AT CLARK-LINDSEY,OK,,,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLARK-LINDSEY VILLAGE,86
Green House Homes at Clark-Lindsey,GREEN HOUSE HOMES AT CLARK-LINDSEY,Dup,,,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLARK-LINDSEY VILLAGE,86
Illini Heritage Rehab and Health,ILLINI HERITAGE REHABILITATION AND HEALTH,OK,,ILLINI HERITAGE REHABILITATION AND HEALTH,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ILLINI HERITAGE REHABILITATION AND HEALTH,100
Meadowbrook at Clark-Lindsey,MEADOWBROOK AT CLARK-LINDSEY,OK,,,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLARK-LINDSEY VILLAGE,72
Meadowbrook at Clark-Lindsey,MEADOWBROOK AT CLARK-LINDSEY,Dup,,,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLARK-LINDSEY VILLAGE,72
Reflections Memory Care,REFLECTIONS MEMORY CARE,OK,,,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLARK-LINDSEY VILLAGE,45
University Rehab Center,UNIVERSITY REHABILITATION CENTER,#REF!,,UNIVERSITY REHABILITATION CENTER,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY REHABILITATION CENTER,100
Villas of Hollybrook-Rantoul,VILLAS OF HOLLYBROOK-RANTOUL,#REF!,,,20201105,IL,CHAMPAIGN,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLARK-LINDSEY VILLAGE,43
Heritage Health of Pana,HERITAGE HEALTH - PANA,OK,,HERITAGE HEALTH - PANA,20201105,IL,CHRISTIAN,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE HEALTH - PANA,100
Hickory Estates of Pana,HICKORY ESTATES OF PANA,OK,,,20201105,IL,CHRISTIAN,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE HEALTH - PANA,53
Lifes Journey,LIFES JOURNEY,OK,,,20201105,IL,CHRISTIAN,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAYLORVILLE CARE CENTER,41
Prairie Rose,PRAIRIE ROSE,OK,,PRAIRIE ROSE,20201105,IL,CHRISTIAN,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRAIRIE ROSE,100
Taylorville Hickory Estates,TAYLORVILLE HICKORY ESTATES,#REF!,,,20201105,IL,CHRISTIAN,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAYLORVILLE SKILLED NURSING AND REHABILITATION,86
Villas of Holly Brook,VILLAS OF HOLLY BROOK,OK,,,20201105,IL,CHRISTIAN,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAYLORVILLE SKILLED NURSING AND REHABILITATION,39
Heartland Manor Nursing home,HEARTLAND MANOR NURSING HOME,OK,,,20201105,IL,CLARK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEARTLAND NURSING AND REHABILITATION,72
Marshall Rehab,MARSHALL REHABILITATION,OK,,MARSHALL REHABILITATION,20201105,IL,CLARK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARSHALL REHABILITATION,100
Villas of Holly Brook Marshall,VILLAS OF HOLLY BROOK MARSHALL,OK,,,20201105,IL,CLARK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARSHALL REHABILITATION,50
Flora Gardens,FLORA GARDENS,OK,,FLORA GARDENS,20201105,IL,CLAY,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLORA GARDENS,100
Aviston Countryside Manor,AVISTON COUNTRYSIDE MANOR,OK,,AVISTON COUNTRYSIDE MANOR,20201105,IL,CLINTON,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVISTON COUNTRYSIDE MANOR,100
Breese Nursing Home,BREESE NURSING HOME,OK,,BREESE NURSING HOME,20201105,IL,CLINTON,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BREESE NURSING HOME,100
Carlyle HealthCare Center,CARLYLE HEALTHCARE CENTER,OK,,CARLYLE HEALTHCARE CENTER,20201105,IL,CLINTON,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLYLE HEALTHCARE CENTER,100
Carlyle Healthcare Center,CARLYLE HEALTHCARE CENTER,Dup,,CARLYLE HEALTHCARE CENTER,20201105,IL,CLINTON,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLYLE HEALTHCARE CENTER,100
Clinton Manor Living Facility,CLINTON MANOR LIVING FACILITY,OK,,CLINTON MANOR LIVING FACILITY,20201105,IL,CLINTON,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLINTON MANOR LIVING FACILITY,100
Clinton Manor Living Facility,CLINTON MANOR LIVING FACILITY,Dup,,CLINTON MANOR LIVING FACILITY,20201105,IL,CLINTON,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLINTON MANOR LIVING FACILITY,100
Villa Catherine,VILLA CATHERINE,#REF!,,,20201105,IL,CLINTON,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLYLE HEALTHCARE CENTER,48
Warren G Murray Developmental Center,WARREN G MURRAY DEVELOPMENTAL CENTER,OK,,,20201105,IL,CLINTON,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLYLE HEALTHCARE CENTER,49
Warren G. Murray Developmental Center,WARREN G. MURRAY DEVELOPMENTAL CENTER,OK,,,20201105,IL,CLINTON,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLYLE HEALTHCARE CENTER,48
Warrren G Murray Develpmental Center,WARRREN G MURRAY DEVELPMENTAL CENTER,OK,,,20201105,IL,CLINTON,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLYLE HEALTHCARE CENTER,49
Charleston Rehab and Healthcare,CHARLESTON REHABILITATION AND HEALTHCARE,OK,,CHARLESTON REHABILITATION AND HEALTHCARE,20201105,IL,COLES,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHARLESTON REHABILITATION AND HEALTHCARE,100
Copper Creek Cottages,COPPER CREEK COTTAGES,OK,,,20201105,IL,COLES,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODD FELLOW REBEKAH,41
Hilltop Skilled Nursing,HILLTOP SKILLED NURSING,OK,,HILLTOP SKILLED NURSING,20201105,IL,COLES,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HILLTOP SKILLED NURSING,100
Mattoon Healthcare,MATTOON HEALTHCARE,OK,,MATTOON HEALTHCARE,20201105,IL,COLES,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATTOON HEALTHCARE,100
Mattoon Healthcare,MATTOON HEALTHCARE,Dup,,MATTOON HEALTHCARE,20201105,IL,COLES,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATTOON HEALTHCARE,100
Mattoon Rehabilitation and Health Care Center,MATTOON REHABILITATION AND HEALTH CARE CENTER,OK,,,20201105,IL,COLES,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATTOON HEALTHCARE,86
Odd Fellow Rebekah,ODD FELLOW REBEKAH,OK,,ODD FELLOW REBEKAH,20201105,IL,COLES,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODD FELLOW REBEKAH,100
Villas of Holly,VILLAS OF HOLLY,OK,,,20201105,IL,COLES,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALM TERRACE OF MATTOON,86
AMITA Health Holy Family Medical Center,AMITA HEALTH HOLY FAMILY MEDICAL CENTER,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARBOUR HEALTH CARE CENTER,86
Abington of Glenview,ABINGTON OF GLENVIEW,OK,,ABINGTON OF GLENVIEW,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABINGTON OF GLENVIEW,100
Addolorata Villa,ADDOLORATA VILLA,OK,,ADDOLORATA VILLA,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDOLORATA VILLA,100
Albany Care,ALBANY CARE,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,86
Alden,ALDEN,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES DES PLAINES,90
Alden Estates Des Plaines,ALDEN ESTATES DES PLAINES,OK,,ALDEN ESTATES DES PLAINES,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES DES PLAINES,100
Alden Estates of Barrington,ALDEN ESTATES OF BARRINGTON,OK,,ALDEN ESTATES OF BARRINGTON,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES OF BARRINGTON,100
Alden Estates of Evanston,ALDEN ESTATES OF EVANSTON,OK,,ALDEN ESTATES OF EVANSTON,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES OF EVANSTON,100
Alden Estates of Northmoor,ALDEN ESTATES OF NORTHMOOR,OK,,ALDEN ESTATES OF NORTHMOOR,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES OF NORTHMOOR,100
Alden Estates of Orland Park,ALDEN ESTATES OF ORLAND PARK,OK,,ALDEN ESTATES OF ORLAND PARK,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES OF ORLAND PARK,100
Alden Estates of Skokie,ALDEN ESTATES OF SKOKIE,OK,,ALDEN ESTATES OF SKOKIE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN ESTATES OF SKOKIE,100
Alden Lakeland,ALDEN LAKELAND,OK,,ALDEN LAKELAND,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN LAKELAND,100
Alden Lakeland,ALDEN LAKELAND,Dup,,ALDEN LAKELAND,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN LAKELAND,100
Alden Lakeland,ALDEN LAKELAND,Dup,,ALDEN LAKELAND,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN LAKELAND,100
Alden Lincoln Park Rehab,ALDEN LINCOLN PARK REHABILITATION,OK,,ALDEN LINCOLN PARK REHABILITATION,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN LINCOLN PARK REHABILITATION,100
Alden Lincoln Park Rehab,ALDEN LINCOLN PARK REHABILITATION,Dup,,ALDEN LINCOLN PARK REHABILITATION,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN LINCOLN PARK REHABILITATION,100
Alden North Shore,ALDEN NORTH SHORE,OK,,ALDEN NORTH SHORE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN NORTH SHORE,100
Alden North Shore,ALDEN NORTH SHORE,Dup,,ALDEN NORTH SHORE,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN NORTH SHORE,100
Alden PoplarCreek,ALDEN POPLAR CREEK,OK,,ALDEN POPLAR CREEK,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN POPLAR CREEK,100
Alden Princeton Rehab & Health,ALDEN PRINCETON REHABILITATION AND HEALTH,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRINCETON REHABILITATION AND HCC,88
Alden Town Manor Care,ALDEN TOWN MANOR CARE,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN LAKELAND,86
Alden Town Manor Rehabilitation & Health Care Cent,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,OK,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,100
Alden Village North,ALDEN VILLAGE NORTH,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN LINCOLN PARK REHABILITATION,86
Alden Village North,ALDEN VILLAGE NORTH,Dup,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN LINCOLN PARK REHABILITATION,86
Alden Wentworth Rehab & Healthcare Center,ALDEN WENTWORTH REHABILITATION AND HEALTHCARE CENTER,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,89
Alden Wentworth Rehab & Healthcare Center,ALDEN WENTWORTH REHABILITATION AND HEALTHCARE CENTER,Dup,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDEN TOWN MANOR REHABILITATION AND HEALTH CARE CENTER,89
All American Nursing Home,ALL AMERICAN NURSING HOME,OK,,ALL AMERICAN NURSING HOME,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL AMERICAN NURSING HOME,100
All Saints,ALL SAINTS,OK,,,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL AMERICAN NURSING HOME,86
Ambassador Nursing,AMBASSADOR NURSING,OK,,AMBASSADOR NURSING,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBASSADOR NURSING,100
Ambassador Nursing,AMBASSADOR NURSING,Dup,,AMBASSADOR NURSING,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBASSADOR NURSING,100
Aperion Care Burbank,APERION CARE BURBANK,OK,,APERION CARE BURBANK,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE BURBANK,100
Aperion Care Chicago Heights,APERION CARE CHICAGO HEIGHTS,OK,,APERION CARE CHICAGO HEIGHTS,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE CHICAGO HEIGHTS,100
Aperion Care Dolton,APERION CARE DOLTON,OK,,APERION CARE DOLTON,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE DOLTON,100
Aperion Care Evanston,APERION CARE EVANSTON,OK,,APERION CARE EVANSTON,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE EVANSTON,100
Aperion Care Forest Park,APERION CARE FOREST PARK,OK,,APERION CARE FOREST PARK,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE FOREST PARK,100
Aperion Care International of Chicago,APERION CARE INTERNATIONAL OF CHICAGO,OK,,APERION CARE INTERNATIONAL OF CHICAGO,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE INTERNATIONAL OF CHICAGO,100
Aperion Care Midlothian,APERION CARE MIDLOTHIAN,OK,,APERION CARE MIDLOTHIAN,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE MIDLOTHIAN,100
Aperion Care Midlothian,APERION CARE MIDLOTHIAN,Dup,,APERION CARE MIDLOTHIAN,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE MIDLOTHIAN,100
Aperion Care Oak Lawn,APERION CARE OAK LAWN,OK,,APERION CARE OAK LAWN,20201105,IL,COOK,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE OAK LAWN,100
