,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Reason for Not Testing Residents - Lack of PPE for Personnel ,Reason for Not Testing Residents - Lack of Supplies,Reason for Not Testing Residents  - Lack of Access to Laboratory,Reason for Not Testing Residents - Lack of Access to Trained Personnel ,Reason for Not Testing Residents  - Uncertainty About Reimbursement,Reason for Not Testing Residents  - Other,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,Reason for Not Testing Staff and/or Personnel - Lack of PPE for Personnel ,Reason for Not Testing Staff and/or Personnel - Lack of Supplies,Reason for Not Testing Staff and/or Personnel - Lack of Access to Laboratory,Reason for Not Testing Staff and/or Personnel  - Lack of Access to Trained Personnel ,Reason for Not Testing Staff and/or Personnel - Uncertainty About Reimbursement,Reason for Not Testing Staff and/or Personnel - Other,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel,In-House Point-of-Care Test Machine,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Enough Supplies to Test All Staff and/or Personnel Using Point-of-Care Test Machine,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County,Three or More Confirmed COVID-19 Cases This Week,Initial Confirmed COVID-19 Case This Week,Geolocation,Reporting Interval
85913,2020-12-13,145400,WESTMINSTER VILLAGE,2025 EAST LINCOLN STREET,BLOOMINGTON,IL,61701,Y,Y,0.0,0.0,4.0,14.0,,0.0,1.0,14.0,1.0,2.0,96.0,63.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,112.0,,4.0,15.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,63.5,15.9,222.2,31.7,14.3,McLean,Y,N,POINT (-88.960584 40.466548),Week 30 - Dec 13
85924,2020-12-13,145294,PRAIRIE VILLAGE HEALTHCARE CTR,1024 WEST WALNUT,JACKSONVILLE,IL,62650,Y,Y,0.0,0.0,17.0,25.0,,0.0,0.0,7.0,0.0,0.0,126.0,65.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,118.0,52.0,,1.0,7.0,0.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,261.5,0.0,384.6,0.0,0.0,Morgan,Y,N,POINT (-90.245125 39.745239),Week 30 - Dec 13
85941,2020-12-13,145031,LOFT REHAB & NURSING OF NORMAL,510 BROADWAY,NORMAL,IL,61761,Y,Y,0.0,0.0,23.0,32.0,,3.0,0.0,7.0,0.0,0.0,108.0,78.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,34.0,4.0,,3.0,16.0,0.0,4.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,294.9,0.0,410.3,0.0,0.0,McLean,Y,N,POINT (-88.985655 40.506603000000005),Week 30 - Dec 13
85943,2020-12-13,145405,BRIA OF WESTMONT,6501 SOUTH CASS,WESTMONT,IL,60559,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DuPage,,,POINT (-87.974408 41.769047),Week 30 - Dec 13
86037,2020-12-13,145456,HERITAGE HEALTH-CARLINVILLE,1200 UNIVERSITY AVENUE,CARLINVILLE,IL,62626,Y,Y,0.0,0.0,0.0,6.0,,6.0,0.0,22.0,0.0,3.0,95.0,67.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,1.0,69.0,,0.0,20.0,0.0,88.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,89.6,44.8,50.0,Macoupin,N,N,POINT (-89.873888 39.294017),Week 30 - Dec 13
86041,2020-12-13,145386,SOUTHGATE HEALTH CARE CENTER,"900 EAST NINTH STREET, PO BOX 843",METROPOLIS,IL,62960,Y,Y,0.0,0.0,0.0,90.0,,47.0,2.0,28.0,2.0,19.0,140.0,93.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,18.0,2.0,,4.0,80.0,0.0,57.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,21.5,967.7,204.3,21.1,Massac,N,N,POINT (-88.720287 37.149899),Week 30 - Dec 13
86067,2020-12-13,145422,FAIR HAVENS SENIOR LIVING,1790 SOUTH FAIRVIEW AVENUE,DECATUR,IL,62521,Y,Y,4.0,8.0,0.0,128.0,,2.0,1.0,30.0,1.0,28.0,143.0,98.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,10.0,,0.0,64.0,0.0,9.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,10.2,1306.1,285.7,21.9,Macon,N,N,POINT (-88.977161 39.821185),Week 30 - Dec 13
86113,2020-12-13,145000,WASHINGTON SENIOR LIVING,1201 NEWCASTLE,WASHINGTON,IL,61571,Y,Y,0.0,3.0,0.0,54.0,,6.0,2.0,32.0,2.0,9.0,122.0,82.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,5.0,,0.0,19.0,0.0,32.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,24.4,658.5,109.8,16.7,Tazewell,N,N,POINT (-89.423219 40.709206),Week 30 - Dec 13
86134,2020-12-13,145502,TAYLORVILLE CARE CENTER,600 SOUTH HOUSTON,TAYLORVILLE,IL,62568,Y,Y,0.0,1.0,0.0,67.0,,11.0,1.0,42.0,0.0,17.0,98.0,51.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,44.0,0.0,17.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,1313.7,333.3,25.4,Christian,N,N,POINT (-89.311245 39.54411),Week 30 - Dec 13
86148,2020-12-13,145508,HIGHLAND HEALTH CARE CENTER,1450 26TH STREET,HIGHLAND,IL,62249,Y,Y,0.0,0.0,0.0,1.0,,0.0,1.0,20.0,0.0,1.0,128.0,72.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,1.0,12.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,13.9,13.9,100.0,Madison,N,N,POINT (-89.673765 38.726349),Week 30 - Dec 13
86286,2020-12-13,145012,HEARTLAND OF GALESBURG,280 EAST LOSEY STREET,GALESBURG,IL,61401,Y,Y,2.0,2.0,9.0,15.0,,0.0,1.0,1.0,1.0,1.0,84.0,50.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,2.0,0.0,,2.0,6.0,0.0,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,180.0,20.0,300.0,20.0,6.7,Knox,Y,N,POINT (-90.366693 40.954802),Week 30 - Dec 13
86290,2020-12-13,145480,MATTOON REHAB & HCC,2121 SOUTH NINTH,MATTOON,IL,61938,N,,0.0,0.0,0.0,80.0,,73.0,0.0,45.0,0.0,15.0,148.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,70.0,0.0,28.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1379.3,258.6,18.8,Coles,,,POINT (-88.364275 39.461902),Week 30 - Dec 13
86360,2020-12-13,145199,MANORCARE OF ARLINGTON HEIGHTS,715 WEST CENTRAL ROAD,ARLINGTON HTS,IL,60005,Y,Y,5.0,102.0,0.0,59.0,,0.0,2.0,28.0,0.0,6.0,151.0,72.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,23.0,75.0,,0.0,47.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,819.4,83.3,10.2,Cook,N,N,POINT (-87.99177 42.066492000000004),Week 30 - Dec 13
86363,2020-12-13,145466,TWIN LAKES REHAB & HEALTH CARE,310 EADS AVENUE,PARIS,IL,61944,Y,Y,0.0,7.0,0.0,36.0,,1.0,0.0,23.0,0.0,6.0,62.0,32.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,2.0,23.0,0.0,5.0,0.0,0.0,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,1125.0,187.5,16.7,Edgar,N,N,POINT (-87.67966 39.607951),Week 30 - Dec 13
86392,2020-12-13,145333,WEST SUBURBAN NURSING & REHAB CENTER,311 EDGEWATER DRIVE,BLOOMINGDALE,IL,60108,Y,Y,0.0,19.0,0.0,84.0,,14.0,1.0,30.0,0.0,14.0,259.0,203.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,3.0,15.0,,0.0,48.0,0.0,13.0,0.0,1.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,413.8,69.0,16.7,DuPage,N,N,POINT (-88.06567 41.942363),Week 30 - Dec 13
86419,2020-12-13,145414,PRAIRIE CROSSING LVG & REHAB,409 WEST COMANCHE ROAD,SHABBONA,IL,60550,Y,Y,1.0,1.0,11.0,53.0,,15.0,3.0,15.0,3.0,4.0,91.0,52.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,18.0,17.0,,8.0,29.0,0.0,7.0,0.0,0.0,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,,,,,211.5,57.7,1019.2,76.9,7.5,DeKalb,Y,N,POINT (-88.879387 41.767957),Week 30 - Dec 13
86437,2020-12-13,145409,MICHAELSEN HEALTH CENTER,831 NORTH BATAVIA AVENUE,BATAVIA,IL,60510,Y,Y,1.0,1.0,1.0,2.0,,20.0,0.0,28.0,0.0,0.0,88.0,76.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,1.0,16.0,0.0,35.0,0.0,0.0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,13.2,0.0,26.3,0.0,0.0,Kane,N,N,POINT (-88.313678 41.863276),Week 30 - Dec 13
86439,2020-12-13,145598,SEMINARY MANOR,2345 NORTH SEMINARY STREET,GALESBURG,IL,61401,Y,Y,2.0,7.0,0.0,72.0,,30.0,1.0,54.0,1.0,25.0,121.0,47.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,1.0,,0.0,68.0,0.0,57.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,21.3,1531.9,531.9,34.7,Knox,N,N,POINT (-90.36401 40.975837),Week 30 - Dec 13
86446,2020-12-13,145497,"THREE SPRINGS LODGE NURSING HOME, LLC",161 THREE SPRINGS ROAD,CHESTER,IL,62233,Y,Y,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,83.0,56.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,7.0,0.0,1.0,0.0,0.0,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,0.0,0.0,,Randolph,N,N,POINT (-89.815384 37.928085),Week 30 - Dec 13
86450,2020-12-13,145247,DOCTORS NURSING & REHAB CENTER,1201 HAWTHORN ROAD,SALEM,IL,62881,Y,Y,0.0,0.0,0.0,5.0,,0.0,0.0,1.0,0.0,0.0,120.0,73.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,13.0,0.0,2.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,10.0,0.0,Y,Y,0.0,0.0,68.5,0.0,0.0,Marion,N,N,POINT (-88.958761 38.637338),Week 30 - Dec 13
86522,2020-12-13,145336,WARREN BARR GOLD COAST,66 WEST OAK STREET,CHICAGO,IL,60610,Y,Y,1.0,10.0,0.0,73.0,,36.0,3.0,49.0,3.0,10.0,221.0,133.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,3.0,4.0,,5.0,66.0,0.0,10.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,22.6,548.9,75.2,13.7,Cook,N,N,POINT (-87.630392 41.900579),Week 30 - Dec 13
86539,2020-12-13,145601,AVISTON COUNTRYSIDE MANOR,450 WEST 1ST STREET,AVISTON,IL,62216,Y,Y,0.0,7.0,0.0,43.0,,18.0,1.0,63.0,1.0,16.0,97.0,48.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,37.0,0.0,38.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,20.8,895.8,333.3,37.2,Clinton,N,N,POINT (-89.61024100000002 38.60754),Week 30 - Dec 13
86577,2020-12-13,145500,HILLSBORO REHAB & HCC,1300 EAST TREMONT STREET,HILLSBORO,IL,62049,Y,Y,0.0,0.0,0.0,4.0,,0.0,0.0,11.0,0.0,0.0,121.0,92.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,0.0,16.0,0.0,5.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,43.5,0.0,0.0,Montgomery,N,N,POINT (-89.478688 39.153314),Week 30 - Dec 13
86682,2020-12-13,145563,ASCENSION SAINT ANNE PLACE,4405 HIGHCREST ROAD,ROCKFORD,IL,61107,Y,Y,3.0,63.0,0.0,72.0,,4.0,0.0,89.0,0.0,15.0,179.0,79.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,49.0,0.0,6.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,911.4,189.9,20.8,Winnebago,N,N,POINT (-89.029784 42.285488),Week 30 - Dec 13
86735,2020-12-13,145612,"SPRINGS AT CRYSTAL LAKE, THE",1000 EAST BRIGHTON LANE,CRYSTAL LAKE,IL,60012,Y,Y,0.0,2.0,3.0,25.0,,0.0,0.0,9.0,0.0,6.0,97.0,34.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,3.0,0.0,,0.0,21.0,0.0,8.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,88.2,0.0,735.3,176.5,24.0,McHenry,Y,N,POINT (-88.283588 42.267779),Week 30 - Dec 13
86809,2020-12-13,145458,OAK BROOK CARE,2013 MIDWEST ROAD,OAK BROOK,IL,60521,Y,Y,3.0,34.0,0.0,44.0,,5.0,1.0,19.0,1.0,12.0,156.0,82.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,12.0,2.0,,2.0,50.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,12.2,536.6,146.3,27.3,DuPage,N,N,POINT (-87.97245 41.848965),Week 30 - Dec 13
