reporting_date,County,FacilityName,confirmed_cases,deaths,status,CFR,outbreaks,county-facName,CMS_ProvNum,ReportDate
2020-05-29,Cook,AMITA Health Holy Family Medical Center ,2,0,Open,0.0,1,COOK-AMITA HEALTH HOLY FAMILY MEDICAL CENTER ,No Match,
2020-05-29,Cook,Aperion Care Burbank,5,1,Open,0.2,1,COOK-APERION CARE BURBANK,145913,
2020-05-29,Cook,Aperion Care Chicago Heights,8,1,Open,0.125,1,COOK-APERION CARE CHICAGO HEIGHTS,145180,
2020-05-29,Cook,Aperion Care Dolton,27,5,Open,0.18518518518518517,1,COOK-APERION CARE DOLTON,145877,
2020-05-29,Cook,Aperion Care Evanston,19,1,Open,0.05263157894736842,1,COOK-APERION CARE EVANSTON,146058,
2020-05-29,Cook,Aperion Care Forest Park,19,1,Closed,0.05263157894736842,1,COOK-APERION CARE FOREST PARK,145969,
2020-05-29,Cook,Aperion Care International of Chicago,90,13,Open,0.14444444444444443,1,COOK-APERION CARE INTERNATIONAL OF CHICAGO,146001,
2020-05-29,Cook,Aperion Care Midlothian,2,0,Open,0.0,1,COOK-APERION CARE MIDLOTHIAN,145947,
2020-05-29,Cook,Aperion Care Oak Lawn,82,18,Open,0.21951219512195122,1,COOK-APERION CARE OAK LAWN,145197,
2020-05-29,Cook,Aperion Care Plum Grove,25,2,Open,0.08,1,COOK-APERION CARE PLUM GROVE,145658,
2020-05-29,Cook,Aperion Care West Ridge,18,8,Open,0.4444444444444444,1,COOK-APERION CARE WEST RIDGE,145832,
2020-05-29,Cook,Arbour Health Care Center,48,1,Open,0.020833333333333332,1,COOK-ARBOUR HEALTH CARE CENTER,146169,
2020-05-29,Cook,Arden Courts of Elk Grove,20,2,Open,0.1,1,COOK-ARDEN COURTS OF ELK GROVE,No Match,
2020-05-29,Cook,Arden Courts of Palos Heights,36,9,Open,0.25,1,COOK-ARDEN COURTS OF PALOS HEIGHTS,No Match,
2020-05-29,Cook,Arden Courts of South Holland ,23,2,Open,0.08695652173913043,1,COOK-ARDEN COURTS OF SOUTH HOLLAND ,No Match,
2020-05-29,Cook,Artis Senior Living of Lakeview,34,8,Open,0.23529411764705882,1,COOK-ARTIS SENIOR LIVING OF LAKEVIEW,No Match,
2020-05-29,Cook,Asbury Court Senior Living,3,0,Open,0.0,1,COOK-ASBURY COURT SENIOR LIVING,146187,
2020-05-29,Cook,Astoria Place of Chicago,103,19,Open,0.18446601941747573,1,COOK-ASTORIA PLACE OF CHICAGO,145634,
2020-05-29,Cook,Atria Glenview,2,0,Open,0.0,1,COOK-ATRIA GLENVIEW,No Match,
2020-05-29,Cook,Atrium Health Care Center,97,10,Open,0.10309278350515463,1,COOK-ATRIUM HEALTH CARE CENTER,145479,
2020-05-29,Cook,Austin Oasis,33,3,Open,0.09090909090909091,1,COOK-AUSTIN OASIS,145834,
2020-05-29,Cook,Autumn Green at Wright Campus,2,0,Open,0.0,1,COOK-AUTUMN GREEN AT WRIGHT CAMPUS,No Match,
2020-05-29,Cook,Avantara Evergreen Park,70,14,Open,0.2,1,COOK-AVANTARA EVERGREEN PARK,145734,
2020-05-29,Cook,Avantara Park Ridge,3,1,Open,0.3333333333333333,1,COOK-AVANTARA PARK RIDGE,145667,
2020-05-29,Cook,Avanti Wellness & Rehabilitation ,58,12,Open,0.20689655172413793,1,COOK-AVANTI WELLNESS & REHABILITATION ,No Match,
2020-05-29,Cook,Avenues to Independence,11,0,Open,0.0,1,COOK-AVENUES TO INDEPENDENCE,No Match,
2020-05-29,Cook,Balmoral Home,9,0,Open,0.0,1,COOK-BALMORAL HOME,145796,
2020-05-29,Cook,Barton Senior Living,2,0,Open,0.0,1,COOK-BARTON SENIOR LIVING,No Match,
2020-05-29,Cook,Beacon Care Center,78,14,Open,0.1794871794871795,1,COOK-BEACON CARE CENTER,145776,
2020-05-29,Cook,Bella Terra Morton Grove,46,5,Open,0.10869565217391304,1,COOK-BELLA TERRA MORTON GROVE,145198,
2020-05-29,Cook,Bella Terra Streamwood,6,1,Open,0.16666666666666666,1,COOK-BELLA TERRA STREAMWOOD,145701,
2020-05-29,Cook,Bellhaven Nursing and Rehabilitation,87,5,Open,0.05747126436781609,1,COOK-BELLHAVEN NURSING AND REHABILITATION,145549,
2020-05-29,Cook,Belmont Oak Park,6,1,Open,0.16666666666666666,1,COOK-BELMONT OAK PARK,No Match,
2020-05-29,Cook,Belmont Village Senior Living of Glenview,20,4,Open,0.2,1,COOK-BELMONT VILLAGE SENIOR LIVING OF GLENVIEW,No Match,
2020-05-29,Cook,Berkeley Nursing and Rehabilitation Center,4,2,Open,0.5,1,COOK-BERKELEY NURSING AND REHABILITATION CENTER,146013,
2020-05-29,Cook,Bethesda Rehab and Senior Care,21,1,Open,0.047619047619047616,1,COOK-BETHESDA REHAB AND SENIOR CARE,145844,
2020-05-29,Cook,Bickford of Tinley Park,2,0,Open,0.0,1,COOK-BICKFORD OF TINLEY PARK,No Match,
2020-05-29,Cook,Birchwood Plaza Nursing-Rehab,22,3,Open,0.13636363636363635,1,COOK-BIRCHWOOD PLAZA NURSING-REHAB,145532,
2020-05-29,Cook,Bria Forest Edge,132,2,Open,0.015151515151515152,1,COOK-BRIA FOREST EDGE,145864,
2020-05-29,Cook,BRIA of Chicago Heights,50,1,Open,0.02,1,COOK-BRIA OF CHICAGO HEIGHTS,145898,
2020-05-29,Cook,Bria of Palos Hills,79,11,Open,0.13924050632911392,1,COOK-BRIA OF PALOS HILLS,145650,
2020-05-29,Cook,Bria Place of Indian Head Park,28,6,Open,0.21428571428571427,1,COOK-BRIA PLACE OF INDIAN HEAD PARK,145784,
2020-05-29,Cook,Bria River Oaks,83,1,Open,0.012048192771084338,1,COOK-BRIA RIVER OAKS,145735,
2020-05-29,Cook,Bridgeview HC,34,15,Open,0.4411764705882353,1,COOK-BRIDGEVIEW HC,145208,
2020-05-29,Cook,Brookdale Assisted living,5,1,Closed,0.2,1,COOK-BROOKDALE ASSISTED LIVING,No Match,
2020-05-29,Cook,Brookdale Des Plaines,16,5,Open,0.3125,1,COOK-BROOKDALE DES PLAINES,No Match,
2020-05-29,Cook,Brookdale - Lake Shore,8,0,Open,0.0,1,COOK-BROOKDALE - LAKE SHORE,No Match,
2020-05-29,Cook,Brookdale Northbrook ,3,3,Open,1.0,1,COOK-BROOKDALE NORTHBROOK ,No Match,
2020-05-29,Cook,Brookdale Orland Park,9,4,Open,0.4444444444444444,1,COOK-BROOKDALE ORLAND PARK,No Match,
2020-05-29,Cook,Brookdale Senior Living of Chicago,4,0,Open,0.0,1,COOK-BROOKDALE SENIOR LIVING OF CHICAGO,No Match,
2020-05-29,Cook,Bryn Mawr Care,13,0,Open,0.0,1,COOK-BRYN MAWR CARE,No Match,
2020-05-29,Cook,Buckingham Pavilion,64,10,Open,0.15625,1,COOK-BUCKINGHAM PAVILION,145285,
2020-05-29,Cook,Burbank Rehab - Vera Care Stickney,21,9,Open,0.42857142857142855,1,COOK-BURBANK REHAB - VERA CARE STICKNEY,145211,
2020-05-29,Cook,California Gardens Nursing and Rehabilitation Cent,156,4,Open,0.02564102564102564,1,COOK-CALIFORNIA GARDENS NURSING AND REHABILITATION CENT,145625,
2020-05-29,Cook,Carlton at the Lake,113,14,Open,0.12389380530973451,1,COOK-CARLTON AT THE LAKE,145679,
2020-05-29,Cook,Center Home for Hispanic Elderly,70,29,Open,0.4142857142857143,1,COOK-CENTER HOME FOR HISPANIC ELDERLY,146062,
2020-05-29,Cook,Central Baptist Village,6,0,Open,0.0,1,COOK-CENTRAL BAPTIST VILLAGE,145853,
2020-05-29,Cook,Central Nursing Home,81,16,Open,0.19753086419753085,1,COOK-CENTRAL NURSING HOME,145648,
2020-05-29,Cook,Chalet Living And Rehab Center,74,10,Open,0.13513513513513514,1,COOK-CHALET LIVING AND REHAB CENTER,145670,
2020-05-29,Cook,Chicago Ridge Nursing and Rehab,49,15,Open,0.30612244897959184,1,COOK-CHICAGO RIDGE NURSING AND REHAB,145639,
2020-05-29,Cook,Citadel of Northbrook,10,2,Open,0.2,1,COOK-CITADEL OF NORTHBROOK,145982,
2020-05-29,Cook,Citadel of Warren Park,21,4,Open,0.19047619047619047,1,COOK-CITADEL OF WARREN PARK,No Match,
2020-05-29,Cook,Citadel of Waterford,63,10,Open,0.15873015873015872,1,COOK-CITADEL OF WATERFORD,No Match,
2020-05-29,Cook,Citadel of Wilmette,5,1,Open,0.2,1,COOK-CITADEL OF WILMETTE,145932,
2020-05-29,Cook,City View Multi Care Center,243,13,Open,0.053497942386831275,1,COOK-CITY VIEW MULTI CARE CENTER,145850,
2020-05-29,Cook,Clark Manor,48,8,Open,0.16666666666666666,1,COOK-CLARK MANOR,145507,
2020-05-29,Cook,Community Care Nursing Home,80,5,Open,0.0625,1,COOK-COMMUNITY CARE NURSING HOME,146164,
2020-05-29,Cook,Continental Nursing and Rehabilitation Center,38,11,Open,0.2894736842105263,1,COOK-CONTINENTAL NURSING AND REHABILITATION CENTER,145730,
2020-05-29,Cook,Countryside Nursing and Rehab Center,2,0,Open,0.0,1,COOK-COUNTRYSIDE NURSING AND REHAB CENTER,145798,
2020-05-29,Cook,Covenant Enabling Residence,5,0,Closed,0.0,1,COOK-COVENANT ENABLING RESIDENCE,No Match,
2020-05-29,Cook,Covenant Enabling Resident of Illinois,5,1,Open,0.2,1,COOK-COVENANT ENABLING RESIDENT OF ILLINOIS,No Match,
2020-05-29,Cook,Covenant Home of Chicago,2,0,Open,0.0,1,COOK-COVENANT HOME OF CHICAGO,No Match,
2020-05-29,Cook,Covenant Living of Northbrook,2,0,Open,0.0,1,COOK-COVENANT LIVING OF NORTHBROOK,No Match,
2020-05-29,Cook,"David Webb, Jr. Senior Living Complex",3,2,Open,0.6666666666666666,1,"COOK-DAVID WEBB, JR. SENIOR LIVING COMPLEX",No Match,
2020-05-29,Cook,Dobson Plaza,52,9,Open,0.17307692307692307,1,COOK-DOBSON PLAZA,145122,
2020-05-29,Cook,Edward Hines VA Community Living Center,3,0,Open,0.0,1,COOK-EDWARD HINES VA COMMUNITY LIVING CENTER,No Match,
2020-05-29,Cook,Elevate Care Chicago North,171,29,Open,0.1695906432748538,1,COOK-ELEVATE CARE CHICAGO NORTH,145484,
2020-05-29,Cook,Elevate Care Irving Park,64,12,Open,0.1875,1,COOK-ELEVATE CARE IRVING PARK,145415,
2020-05-29,Cook,Elevate Care Niles,5,2,Open,0.4,1,COOK-ELEVATE CARE NILES,145662,
2020-05-29,Cook,Elevate Care Northbrook,63,11,Open,0.1746031746031746,1,COOK-ELEVATE CARE NORTHBROOK,145171,
2020-05-29,Cook,Elevate Care South Holland,17,5,Open,0.29411764705882354,1,COOK-ELEVATE CARE SOUTH HOLLAND,No Match,
2020-05-29,Cook,Elevate Saint Andrew,19,7,Open,0.3684210526315789,1,COOK-ELEVATE SAINT ANDREW,146176,
2020-05-29,Cook,Emerald Place Memory Care,9,2,Open,0.2222222222222222,1,COOK-EMERALD PLACE MEMORY CARE,No Match,
2020-05-29,Cook,Estates of Hyde Park,37,9,Open,0.24324324324324326,1,COOK-ESTATES OF HYDE PARK,145828,
2020-05-29,Cook,Evergreen Senior Living,14,7,Open,0.5,1,COOK-EVERGREEN SENIOR LIVING,No Match,
2020-05-29,Cook,Fairmont Care,121,24,Open,0.19834710743801653,1,COOK-FAIRMONT CARE,145867,
2020-05-29,Cook,Foster Health & Rehab,30,4,Open,0.13333333333333333,1,COOK-FOSTER HEALTH & REHAB,146167,
2020-05-29,Cook,Franciscan Village,4,1,Open,0.25,1,COOK-FRANCISCAN VILLAGE,146029,
2020-05-29,Cook,Friendship Village Assisted Living,5,1,Open,0.2,1,COOK-FRIENDSHIP VILLAGE ASSISTED LIVING,No Match,
2020-05-29,Cook,Friendship Village LTC,5,1,Open,0.2,1,COOK-FRIENDSHIP VILLAGE LTC,145341,
2020-05-29,Cook,Generations at Applewood,71,16,Open,0.22535211267605634,1,COOK-GENERATIONS AT APPLEWOOD,145781,
2020-05-29,Cook,Generations at Elmwood Park,86,16,Open,0.18604651162790697,1,COOK-GENERATIONS AT ELMWOOD PARK,145419,
2020-05-29,Cook,Generations At Oakton,30,10,Open,0.3333333333333333,1,COOK-GENERATIONS AT OAKTON,145626,
2020-05-29,Cook,Generations at Regency,97,25,Open,0.25773195876288657,1,COOK-GENERATIONS AT REGENCY,145237,
2020-05-29,Cook,Glenview Terrace,100,28,Open,0.28,1,COOK-GLENVIEW TERRACE,145268,
2020-05-29,Cook,Glenwood Health Care & Rehab,41,3,Open,0.07317073170731707,1,COOK-GLENWOOD HEALTH CARE & REHAB,No Match,
2020-05-29,Cook,Golfview Developmental Center,99,11,Open,0.1111111111111111,1,COOK-GOLFVIEW DEVELOPMENTAL CENTER,No Match,
2020-05-29,Cook,Good Shepherd Manor,3,1,Closed,0.3333333333333333,1,COOK-GOOD SHEPHERD MANOR,No Match,
2020-05-29,Cook,Grace Point Place Memory Care,23,7,Open,0.30434782608695654,1,COOK-GRACE POINT PLACE MEMORY CARE,No Match,
2020-05-29,Cook,Greek American Rehab & Care,3,0,Open,0.0,1,COOK-GREEK AMERICAN REHAB & CARE,146031,
2020-05-29,Cook,Greenwood Care-Evanston,14,1,Open,0.07142857142857142,1,COOK-GREENWOOD CARE-EVANSTON,No Match,
2020-05-29,Cook,Grosse Pointe Manor,9,2,Open,0.2222222222222222,1,COOK-GROSSE POINTE MANOR,145999,
2020-05-29,Cook,Harbor House Memory Care,24,4,Open,0.16666666666666666,1,COOK-HARBOR HOUSE MEMORY CARE,No Match,
2020-05-29,Cook,Harmony Healthcare and Rehab,112,24,Open,0.21428571428571427,1,COOK-HARMONY HEALTHCARE AND REHAB,145775,
2020-05-29,Cook,Heartis Village of Orland Park,2,0,Open,0.0,1,COOK-HEARTIS VILLAGE OF ORLAND PARK,No Match,
2020-05-29,Cook,Heather Manor Nursing & Rehabilitation Center,8,1,Open,0.125,1,COOK-HEATHER MANOR NURSING & REHABILITATION CENTER,No Match,
2020-05-29,Cook,Helping Hands Center Countryside,2,0,Open,0.0,1,COOK-HELPING HANDS CENTER COUNTRYSIDE,No Match,
2020-05-29,Cook,Heritage Woods,5,0,Open,0.0,1,COOK-HERITAGE WOODS,No Match,
2020-05-29,Cook,Hickory Nursing Pavilion,3,0,Open,0.0,1,COOK-HICKORY NURSING PAVILION,No Match,
2020-05-29,Cook,Holy Family Villa,8,3,Open,0.375,1,COOK-HOLY FAMILY VILLA,146053,
2020-05-29,Cook,Inverness Health and Rehab,10,0,Open,0.0,1,COOK-INVERNESS HEALTH AND REHAB,145994,
2020-05-29,Cook,Jackson Park Assisted living,2,0,Open,0.0,1,COOK-JACKSON PARK ASSISTED LIVING,No Match,
2020-05-29,Cook,Kensington Place Nursing And Rehabilitation Center,15,2,Open,0.13333333333333333,1,COOK-KENSINGTON PLACE NURSING AND REHABILITATION CENTER,145829,
2020-05-29,Cook,Lake Cook Rehab & Healthcare(formerly Rosewood),20,7,Open,0.35,1,COOK-LAKE COOK REHAB & HEALTHCARE(FORMERLY ROSEWOOD),145971,
2020-05-29,Cook,Lakefront Nursing,11,0,Open,0.0,1,COOK-LAKEFRONT NURSING,145235,
2020-05-29,Cook,Lakeview Nursing and Rehab,60,19,Open,0.31666666666666665,1,COOK-LAKEVIEW NURSING AND REHAB,145654,
2020-05-29,Cook,Landmark of Des Plaines,86,20,Open,0.23255813953488372,1,COOK-LANDMARK OF DES PLAINES,145334,
2020-05-29,Cook,Landmark of Richton Park,34,5,Open,0.14705882352941177,1,COOK-LANDMARK OF RICHTON PARK,145424,
2020-05-29,Cook,Lee Manor Rehab and Nursing,31,5,Open,0.16129032258064516,1,COOK-LEE MANOR REHAB AND NURSING,145382,
2020-05-29,Cook,Lemont Center,11,5,Open,0.45454545454545453,1,COOK-LEMONT CENTER,145901,
2020-05-29,Cook,Lexington healthcare of Schaumburg,4,0,Open,0.0,1,COOK-LEXINGTON HEALTHCARE OF SCHAUMBURG,145678,
2020-05-29,Cook,Lexington Health Care Orland Park,28,12,Open,0.42857142857142855,1,COOK-LEXINGTON HEALTH CARE ORLAND PARK,145899,
2020-05-29,Cook,Lexington of Chicago Ridge,23,12,Closed,0.5217391304347826,1,COOK-LEXINGTON OF CHICAGO RIDGE,145700,
2020-05-29,Cook,Lieberman Geriatric Center,20,2,Open,0.1,1,COOK-LIEBERMAN GERIATRIC CENTER,145931,
2020-05-29,Cook,Lincolnwood Place,31,13,Open,0.41935483870967744,1,COOK-LINCOLNWOOD PLACE,145786,
2020-05-29,Cook,Little Sisters of the Poor/St. Marys Home,57,10,Open,0.17543859649122806,1,COOK-LITTLE SISTERS OF THE POOR/ST. MARYS HOME,146185,
2020-05-29,Cook,Little Village Nursing Home,34,5,Open,0.14705882352941177,1,COOK-LITTLE VILLAGE NURSING HOME,146018,
2020-05-29,Cook,Ludeman Developmental Center,316,10,Open,0.03164556962025317,1,COOK-LUDEMAN DEVELOPMENTAL CENTER,No Match,
2020-05-29,Cook,Lydia Health Care Center,23,3,Open,0.13043478260869565,1,COOK-LYDIA HEALTH CARE CENTER,No Match,
2020-05-29,Cook,Madden Mental Health Center,13,0,Open,0.0,1,COOK-MADDEN MENTAL HEALTH CENTER,No Match,
2020-05-29,Cook,MADO Healthcare Uptown,63,6,Open,0.09523809523809523,1,COOK-MADO HEALTHCARE UPTOWN,146191,
2020-05-29,Cook,Manor Care at Arlington Heights,18,1,Open,0.05555555555555555,1,COOK-MANOR CARE AT ARLINGTON HEIGHTS,145199,
2020-05-29,Cook,ManorCare ElkGrove Village,60,8,Open,0.13333333333333333,1,COOK-MANORCARE ELKGROVE VILLAGE,145689,
2020-05-29,Cook,Manor Care Health Services-Homewood,48,13,Open,0.2708333333333333,1,COOK-MANOR CARE HEALTH SERVICES-HOMEWOOD,145684,
2020-05-29,Cook,ManorCare Health Services-Palos Heights West,52,14,Open,0.2692307692307692,1,COOK-MANORCARE HEALTH SERVICES-PALOS HEIGHTS WEST,145893,
2020-05-29,Cook,Manor Care Oak Lawn EAST. Cook,31,9,Open,0.2903225806451613,1,COOK-MANOR CARE OAK LAWN EAST. COOK,No Match,
2020-05-29,Cook,ManorCare Oak Lawn West,51,10,Open,0.19607843137254902,1,COOK-MANORCARE OAK LAWN WEST,145087,
2020-05-29,Cook,ManorCare Palos Heights East,51,5,Open,0.09803921568627451,1,COOK-MANORCARE PALOS HEIGHTS EAST,145607,
2020-05-29,Cook,Margaret Manor Central,12,1,Open,0.08333333333333333,1,COOK-MARGARET MANOR CENTRAL,No Match,
2020-05-29,Cook,Marklund Wasmond Center,2,0,Open,0.0,1,COOK-MARKLUND WASMOND CENTER,No Match,
2020-05-29,Cook,Mather Place,7,2,Open,0.2857142857142857,1,COOK-MATHER PLACE,No Match,
2020-05-29,Cook,Mayfield Care Center,153,18,Open,0.11764705882352941,1,COOK-MAYFIELD CARE CENTER,145885,
2020-05-29,Cook,Meadowbrook Manor,45,11,Open,0.24444444444444444,1,COOK-MEADOWBROOK MANOR,145710,
2020-05-29,Cook,Mercy Circle,6,0,Open,0.0,1,COOK-MERCY CIRCLE,146174,
2020-05-29,Cook,Midway Neuro and Rehab,117,10,Open,0.08547008547008547,1,COOK-MIDWAY NEURO AND REHAB,145778,
2020-05-29,Cook,Montgomery Place,30,3,Open,0.1,1,COOK-MONTGOMERY PLACE,145748,
2020-05-29,Cook,Mosaic of Lakeshore,119,26,Open,0.2184873949579832,1,COOK-MOSAIC OF LAKESHORE,145244,
2020-05-29,Cook,New City Supportive Living,2,0,Open,0.0,1,COOK-NEW CITY SUPPORTIVE LIVING,No Match,
2020-05-29,Cook,Niles Nursing and Rehab Center,158,33,Open,0.2088607594936709,1,COOK-NILES NURSING AND REHAB CENTER,145696,
2020-05-29,Cook,Norridge Gardens,66,30,Open,0.45454545454545453,1,COOK-NORRIDGE GARDENS,145329,
2020-05-29,Cook,Northbrook Inn Memory Care,11,4,Open,0.36363636363636365,1,COOK-NORTHBROOK INN MEMORY CARE,No Match,
2020-05-29,Cook,North Shore Place,8,0,Open,0.0,1,COOK-NORTH SHORE PLACE,No Match,
2020-05-29,Cook,Norwood crossing Skilled Nursing,27,1,Open,0.037037037037037035,1,COOK-NORWOOD CROSSING SKILLED NURSING,145974,
2020-05-29,Cook,Oak Lawn Respiratory and Rehab,2,0,Open,0.0,1,COOK-OAK LAWN RESPIRATORY AND REHAB,145942,
2020-05-29,Cook,Oak Park Arms,9,1,Open,0.1111111111111111,1,COOK-OAK PARK ARMS,No Match,
2020-05-29,Cook,Oak Park Brookdale,14,1,Open,0.07142857142857142,1,COOK-OAK PARK BROOKDALE,No Match,
2020-05-29,Cook,Oak Park Oasis,25,10,Open,0.4,1,COOK-OAK PARK OASIS,145714,
2020-05-29,Cook,Palos Heights Nursing and Rehab,23,3,Open,0.13043478260869565,1,COOK-PALOS HEIGHTS NURSING AND REHAB,145681,
2020-05-29,Cook,Parkshore Estates,18,1,Open,0.05555555555555555,1,COOK-PARKSHORE ESTATES,145938,
2020-05-29,Cook,Park View Rehab,44,10,Open,0.22727272727272727,1,COOK-PARK VIEW REHAB,145765,
2020-05-29,Cook,Pauls House,45,5,Open,0.1111111111111111,1,COOK-PAULS HOUSE,No Match,
2020-05-29,Cook,Pearl of Rolling Meadows,3,0,Open,0.0,1,COOK-PEARL OF ROLLING MEADOWS,145350,
2020-05-29,Cook,Pershing Garden,13,4,Closed,0.3076923076923077,1,COOK-PERSHING GARDEN,146078,
2020-05-29,Cook,Peterson Park Health Care,202,31,Open,0.15346534653465346,1,COOK-PETERSON PARK HEALTH CARE,145838,
2020-05-29,Cook,Pine Crest Healthcare,3,1,Open,0.3333333333333333,1,COOK-PINE CREST HEALTHCARE,145220,
2020-05-29,Cook,Praire Oasis South Holland,35,10,Open,0.2857142857142857,1,COOK-PRAIRE OASIS SOUTH HOLLAND,145927,
2020-05-29,Cook,Prairie Green at Dixie Crossing,16,5,Open,0.3125,1,COOK-PRAIRIE GREEN AT DIXIE CROSSING,No Match,
2020-05-29,Cook,Prairie Green at Fays Point,11,2,Open,0.18181818181818182,1,COOK-PRAIRIE GREEN AT FAYS POINT,No Match,
2020-05-29,Cook,Prairie Manor Rehab and Nursing,22,10,Open,0.45454545454545453,1,COOK-PRAIRIE MANOR REHAB AND NURSING,145629,
2020-05-29,Cook,Presence MaryHaven,13,4,Closed,0.3076923076923077,1,COOK-PRESENCE MARYHAVEN,145741,
2020-05-29,Cook,Presence Nazarethville,5,0,Open,0.0,1,COOK-PRESENCE NAZARETHVILLE,146180,
2020-05-29,Cook,Presence Resurrection Life Center,6,1,Open,0.16666666666666666,1,COOK-PRESENCE RESURRECTION LIFE CENTER,145960,
2020-05-29,Cook,Presence St. Benedict,5,0,Open,0.0,1,COOK-PRESENCE ST. BENEDICT,145731,
2020-05-29,Cook,Presence Villa Scalabrini Nursing&Rehab Center,19,3,Open,0.15789473684210525,1,COOK-PRESENCE VILLA SCALABRINI NURSING&REHAB CENTER,145956,
2020-05-29,Cook,Progressive Housing,3,1,Open,0.3333333333333333,1,COOK-PROGRESSIVE HOUSING,No Match,
2020-05-29,Cook,Resurrection Nursing & rehab Center,43,4,Open,0.09302325581395349,1,COOK-RESURRECTION NURSING & REHAB CENTER,No Match,
2020-05-29,Cook,Revere Court of South Barrington,8,2,Open,0.25,1,COOK-REVERE COURT OF SOUTH BARRINGTON,No Match,
2020-05-29,Cook,Selfhelp Home,38,3,Open,0.07894736842105263,1,COOK-SELFHELP HOME,146009,
2020-05-29,Cook,Sheridan Village,43,15,Open,0.3488372093023256,1,COOK-SHERIDAN VILLAGE,145482,
2020-05-29,Cook,Skokie Meadows,5,0,Open,0.0,1,COOK-SKOKIE MEADOWS,No Match,
