reporting_date,County_x,FacilityName,confirmed_cases,deaths,ReportDate,status,CFR,outbreaks,county-facName,CMS_ProvNum,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,County_y,Provider Zip Code,Submitted Data,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,Three or More Confirmed COVID-19 Cases This Week,Initial Confirmed COVID-19 Case This Week,Geolocation,Resident Access to Testing in Facility,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel,In-House Point-of-Care Test Machine,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Enough Supplies to Test All Staff and/or Personnel Using Point-of-Care Test Machine,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,Geolocation
2020-12-04,Adams,Quincy Terrace,15,1,2020-12-04T00:00:00,Open,0.06666666666666667,1,ADAMS-QUINCY TERRACE,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Bond,Greenville Nursing & Rehab,22,1,2020-12-04T00:00:00,Open,0.045454545454545456,1,BOND-GREENVILLE NURSING & REHAB,145909,2020-11-22,145909,GREENVILLE NURSING & REHAB,400 EAST HILLVIEW AVENUE,GREENVILLE,IL,Bond,62246.0,Y,1.0,2.0,0.0,10.0,0.0,6.0,1.0,12.0,0.0,1.0,90.0,59.0,0.0,8.0,0.0,5.0,0.0,0.0,N,N,N,N,0.0,0.0,169.5,16.9,10.0,N,N,POINT (-89.408034 38.876113),,Y,1-2 DAYS,Y,N,N,N,Y,N,Y,1-2 DAYS,Y,N,N,N,Y,N,Y,0.0,1.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-89.408034 38.876113)
2020-12-04,Bond,Cedarhurst of Greenville,20,3,2020-12-04T00:00:00,Open,0.15,1,BOND-CEDARHURST OF GREENVILLE,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Boone,Symphony Northwoods,89,16,2020-12-04T00:00:00,Closed,0.1797752808988764,1,BOONE-SYMPHONY NORTHWOODS,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Boone,Park Place of Belvidere,6,0,2020-12-04T00:00:00,Closed,0.0,1,BOONE-PARK PLACE OF BELVIDERE,146071,2020-11-22,146071,PARK PLACE OF BELVIDERE,1701 5TH AVENUE,BELVIDERE,IL,Boone,61008.0,Y,5.0,8.0,3.0,47.0,0.0,2.0,2.0,10.0,1.0,1.0,80.0,52.0,0.0,29.0,0.0,2.0,0.0,0.0,N,N,N,N,57.7,19.2,903.8,19.2,2.1,Y,N,POINT (-88.846577 42.243636),,Y,3-7 DAYS,Y,Y,N,Y,Y,N,Y,3-7 DAYS,Y,Y,N,Y,Y,N,N,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-88.846577 42.243636)
2020-12-04,Boone,Heritage of Woods,5,1,2020-12-04T00:00:00,Closed,0.2,1,BOONE-HERITAGE OF WOODS,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Boone,Maple Crest Care Center,74,0,2020-12-04T00:00:00,Open,0.0,1,BOONE-MAPLE CREST CARE CENTER,145990,2020-11-22,145990,SYMPHONY MAPLE CREST,4452 SQUAW PRAIRIE ROAD,BELVIDERE,IL,Boone,61008.0,Y,0.0,0.0,1.0,1.0,0.0,15.0,1.0,33.0,0.0,0.0,86.0,74.0,1.0,11.0,1.0,17.0,0.0,0.0,N,N,N,N,13.5,0.0,13.5,0.0,0.0,N,Y,POINT (-88.852846 42.291222),,Y,1-2 DAYS,Y,N,N,Y,N,N,Y,1-2 DAYS,Y,N,N,Y,N,N,Y,73.0,80.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-88.852846 42.291222)
2020-12-04,Boone,Park Place,75,1,2020-12-04T00:00:00,Open,0.013333333333333334,1,BOONE-PARK PLACE,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Boone,Northwoods Care Center ,8,0,2020-12-04T00:00:00,Open,0.0,1,BOONE-NORTHWOODS CARE CENTER ,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Boone,Heritage Woods of Belvidere ,23,0,2020-12-04T00:00:00,Open,0.0,1,BOONE-HERITAGE WOODS OF BELVIDERE ,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Brown,Heritage Health,25,4,2020-12-04T00:00:00,Open,0.16,1,BROWN-HERITAGE HEALTH,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Bureau,St. Margarets Living Center,3,0,2020-12-04T00:00:00,Closed,0.0,1,BUREAU-ST. MARGARETS LIVING CENTER,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Bureau,Aperion Care- Princeton,92,5,2020-12-04T00:00:00,Open,0.05434782608695652,1,BUREAU-APERION CARE- PRINCETON,145437,2020-11-22,145437,APERION CARE PRINCETON,515 BUREAU VALLEY PARKWAY,PRINCETON,IL,Bureau,61356.0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-89.450485 41.369886),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-89.450485 41.369886)
2020-12-04,Bureau,Heartland Heath care- Henry,2,0,2020-12-04T00:00:00,Open,0.0,1,BUREAU-HEARTLAND HEATH CARE- HENRY,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Bureau,Liberty Village of Princeton,24,7,2020-12-04T00:00:00,Open,0.2916666666666667,1,BUREAU-LIBERTY VILLAGE OF PRINCETON,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Bureau,Aperion Care Spring Valley,90,9,2020-12-04T00:00:00,Open,0.1,1,BUREAU-APERION CARE SPRING VALLEY,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Bureau,Heritage Health,2,0,2020-12-04T00:00:00,Open,0.0,1,BUREAU-HERITAGE HEALTH,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Calhoun,Calhoun Nursing and Rehabilitation,2,0,2020-12-04T00:00:00,Closed,0.0,1,CALHOUN-CALHOUN NURSING AND REHABILITATION,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Carroll,Big Meadows Nursing Home,99,9,2020-12-04T00:00:00,Open,0.09090909090909091,1,CARROLL-BIG MEADOWS NURSING HOME,14E701,2020-11-22,14E701,BIG MEADOWS,1000 LONGMOOR,SAVANNA,IL,Carroll,61074.0,Y,0.0,3.0,1.0,55.0,0.0,14.0,0.0,14.0,0.0,7.0,83.0,67.0,2.0,33.0,0.0,20.0,0.0,0.0,Y,N,Y,N,14.9,0.0,820.9,104.5,12.7,N,N,POINT (-90.138388 42.095761),,Y,3-7 DAYS,Y,N,N,Y,Y,N,Y,3-7 DAYS,Y,Y,N,Y,Y,N,Y,0.0,3.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-90.138388 42.095761)
2020-12-04,Carroll,Allure of Mount Carroll,46,8,2020-12-04T00:00:00,Open,0.17391304347826086,1,CARROLL-ALLURE OF MOUNT CARROLL,145770,2020-11-22,145770,ALLURE OF MT CARROLL,1006 NORTH LOWDEN P.O. BOX 111,MOUNT CARROLL,IL,Carroll,61053.0,Y,0.0,1.0,0.0,18.0,0.0,1.0,0.0,21.0,0.0,7.0,72.0,38.0,0.0,15.0,0.0,6.0,0.0,0.0,N,N,N,N,0.0,0.0,473.7,184.2,38.9,N,N,,,Y,3-7 DAYS,Y,N,N,N,Y,N,Y,3-7 DAYS,Y,N,N,N,Y,N,Y,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
2020-12-04,Cass,Walker Nursing Home,57,11,2020-12-04T00:00:00,Closed,0.19298245614035087,1,CASS-WALKER NURSING HOME,146100,2020-11-22,146100,WALKER NURSING HOME,530 EAST BEARDSTOWN STREET,VIRGINIA,IL,Cass,62691.0,Y,0.0,0.0,0.0,30.0,0.0,1.0,0.0,10.0,0.0,10.0,71.0,26.0,1.0,22.0,0.0,0.0,0.0,0.0,N,N,N,N,0.0,0.0,1153.8,384.6,33.3,N,N,POINT (-90.205881 39.94748),,Y,3-7 DAYS,Y,N,N,Y,N,N,Y,3-7 DAYS,Y,N,N,Y,N,N,Y,26.0,29.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-90.205881 39.94748)
2020-12-04,Cass,Heritage Health,59,9,2020-12-04T00:00:00,Open,0.15254237288135594,1,CASS-HERITAGE HEALTH,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Cass,Evergreen Place Supportive Living ,2,0,2020-12-04T00:00:00,Open,0.0,1,CASS-EVERGREEN PLACE SUPPORTIVE LIVING ,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Champaign,University Rehab Center,5,0,2020-12-04T00:00:00,Closed,0.0,1,CHAMPAIGN-UNIVERSITY REHAB CENTER,145364,2020-11-22,145364,UNIVERSITY REHAB,500 SOUTH ART BARTELL ROAD,URBANA,IL,Champaign,61802.0,Y,0.0,1.0,0.0,7.0,0.0,0.0,0.0,26.0,0.0,0.0,243.0,148.0,0.0,28.0,0.0,0.0,0.0,0.0,N,N,N,N,0.0,0.0,47.3,0.0,0.0,N,N,POINT (-88.183897 40.108183),,Y,1-2 DAYS,Y,N,N,Y,N,N,Y,1-2 DAYS,Y,N,N,Y,N,N,Y,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-88.183897 40.108183)
2020-12-04,Champaign,Reflections Memory Care,28,4,2020-12-04T00:00:00,Closed,0.14285714285714285,1,CHAMPAIGN-REFLECTIONS MEMORY CARE,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Champaign,Champaign-Urbana Nursing and Rehab,4,1,2020-12-04T00:00:00,Closed,0.25,1,CHAMPAIGN-CHAMPAIGN-URBANA NURSING AND REHAB,145439,2020-11-22,145439,CHAMPAIGN URBANA NRSG & REHAB,302 WEST BURWASH,SAVOY,IL,Champaign,61874.0,Y,0.0,0.0,3.0,17.0,0.0,0.0,1.0,22.0,0.0,2.0,213.0,92.0,6.0,32.0,0.0,1.0,0.0,0.0,Y,N,Y,Y,32.6,0.0,184.8,21.7,11.8,Y,N,,,Y,1-2 DAYS,Y,N,N,Y,N,N,Y,1-2 DAYS,Y,N,N,Y,N,N,Y,3.0,14.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
2020-12-04,Champaign,Villas of Hollybrook-Rantoul,5,0,2020-12-04T00:00:00,Closed,0.0,1,CHAMPAIGN-VILLAS OF HOLLYBROOK-RANTOUL,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Champaign,Country Health and Rehab,7,0,2020-12-04T00:00:00,Closed,0.0,1,CHAMPAIGN-COUNTRY HEALTH AND REHAB,145708,2020-11-22,145708,COUNTRY HEALTH,2304 C R 3000 N,GIFFORD,IL,Champaign,61847.0,Y,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,72.0,1.0,13.0,0.0,0.0,0.0,0.0,N,N,N,N,27.8,0.0,55.6,0.0,0.0,N,N,POINT (-88.020222 40.312816),,Y,<1 DAY,Y,N,N,N,Y,N,Y,<1 DAY,Y,N,N,N,Y,N,Y,5.0,14.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-88.020222 40.312816)
2020-12-04,Champaign,Green House Homes at Clark-Lindsey,2,0,2020-12-04T00:00:00,Closed,0.0,1,CHAMPAIGN-GREEN HOUSE HOMES AT CLARK-LINDSEY,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Champaign,Illini Heritage Rehab and Health,2,0,2020-12-04T00:00:00,Closed,0.0,1,CHAMPAIGN-ILLINI HERITAGE REHAB AND HEALTH,146017,2020-11-22,146017,ILLINI HERITAGE REHAB & HC,1315B CURT DRIVE,CHAMPAIGN,IL,Champaign,61820.0,Y,3.0,5.0,1.0,35.0,0.0,1.0,2.0,15.0,2.0,5.0,57.0,29.0,0.0,24.0,0.0,2.0,0.0,0.0,N,N,N,N,34.5,69.0,1206.9,172.4,14.3,N,N,POINT (-88.268481 40.140124),,Y,3-7 DAYS,Y,N,Y,N,Y,N,Y,3-7 DAYS,Y,N,Y,Y,Y,N,Y,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-88.268481 40.140124)
2020-12-04,Champaign,Meadowbrook at Clark-Lindsey,7,0,2020-12-04T00:00:00,Closed,0.0,1,CHAMPAIGN-MEADOWBROOK AT CLARK-LINDSEY,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Champaign,Champaign Urbana Nursing and Rehab,37,1,2020-12-04T00:00:00,Open,0.02702702702702703,1,CHAMPAIGN-CHAMPAIGN URBANA NURSING AND REHAB,145439,2020-11-22,145439,CHAMPAIGN URBANA NRSG & REHAB,302 WEST BURWASH,SAVOY,IL,Champaign,61874.0,Y,0.0,0.0,3.0,17.0,0.0,0.0,1.0,22.0,0.0,2.0,213.0,92.0,6.0,32.0,0.0,1.0,0.0,0.0,Y,N,Y,Y,32.6,0.0,184.8,21.7,11.8,Y,N,,,Y,1-2 DAYS,Y,N,N,Y,N,N,Y,1-2 DAYS,Y,N,N,Y,N,N,Y,3.0,14.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,
2020-12-04,Champaign,Bickford Senior Living,10,3,2020-12-04T00:00:00,Closed,0.3,1,CHAMPAIGN-BICKFORD SENIOR LIVING,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,Champaign,University Rehabilitation Center,4,0,2020-12-04T00:00:00,Closed,0.0,1,CHAMPAIGN-UNIVERSITY REHABILITATION CENTER,145364,2020-11-22,145364,UNIVERSITY REHAB,500 SOUTH ART BARTELL ROAD,URBANA,IL,Champaign,61802.0,Y,0.0,1.0,0.0,7.0,0.0,0.0,0.0,26.0,0.0,0.0,243.0,148.0,0.0,28.0,0.0,0.0,0.0,0.0,N,N,N,N,0.0,0.0,47.3,0.0,0.0,N,N,POINT (-88.183897 40.108183),,Y,1-2 DAYS,Y,N,N,Y,N,N,Y,1-2 DAYS,Y,N,N,Y,N,N,Y,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-88.183897 40.108183)
2020-12-04,Champaign,Country Health and Rehab,2,0,2020-12-04T00:00:00,Closed,0.0,1,CHAMPAIGN-COUNTRY HEALTH AND REHAB,145708,2020-11-22,145708,COUNTRY HEALTH,2304 C R 3000 N,GIFFORD,IL,Champaign,61847.0,Y,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,72.0,1.0,13.0,0.0,0.0,0.0,0.0,N,N,N,N,27.8,0.0,55.6,0.0,0.0,N,N,POINT (-88.020222 40.312816),,Y,<1 DAY,Y,N,N,N,Y,N,Y,<1 DAY,Y,N,N,N,Y,N,Y,5.0,14.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-88.020222 40.312816)
2020-12-04,Champaign,Brookdale Urbana,10,3,2020-12-04T00:00:00,Open,0.3,1,CHAMPAIGN-BROOKDALE URBANA,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
